"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"group_L3_97c47099","Met-tRNAMet","cytokine_stim",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_97e15428",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_97e6469a","Estrogen deprivation","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_97f4d20b",NA,"disease_vs_normal",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_97ff2509","thiomorpholine-3-carboxylic acid","genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_981b4a56",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9822e21d",NA,"genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9836e103","IFNA1","cytokine_stim",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_984060d9",NA,"genetic_knockout",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9846afb0",NA,"differentiation",9,9,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9889cb6e","Arthritis, Rheumatoid","disease_vs_normal",4,4,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_98a3c797",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_98d93c1e",NA,"genetic_knockdown",10,10,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_98db4698","6-O-sulfo-α-D-Glc-(1→6)-α-D-Glc-(1→6)-α-D-Glc-(1→3)-1-O-alkyl-2-O-acylglycerol","small_molecule",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_98f954d0",NA,"genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_991b5681",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_991bb0df",NA,"differentiation",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_991d0108",NA,"environmental",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_99263466",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_99752736","White Bean 7S globulin","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_99794689",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_997cbdba",NA,"environmental",14,14,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_99d6227c","hcc","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_99e551c3","Carcinoma, Hepatocellular","disease_vs_normal",8,8,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_99f59042","Day_7_osteogenic_differentiation","differentiation",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_99f66780",NA,"differentiation",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9a089264","Hepatitis C virus","pathogen_or_aggregate_exposure",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9a13095d",NA,"small_molecule",5,5,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9a29f30b","mds","disease_vs_normal",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9a3a83af","long-chain fatty alcohol","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9a7a2cbf",NA,"genetic_knockout",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9a97e4da",NA,"environmental",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9aa0e360","labor","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9aaae477","Neoplasms","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9ab9c414",NA,"genetic_knockout",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9abde3c7",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9adc8275",NA,"small_molecule",9,9,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9aee2e5e","(R)-laudanosine(1+)","small_molecule",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9b0d1518","Fibrin","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9b1f6aee",NA,"genetic_knockdown",6,6,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9b45c6ed","(R)-lavandulyl diphosphate","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9b531496",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9b7367e7",NA,"genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9b8e2a83","benzoylacetyl-CoA","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
