"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"pair_L4_8dbb7a70","covid-19","disease_vs_normal",1,1,NA,"PBMC__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8dc61ef2","4+4 factors","environmental",1,1,NA,"Peripheral blood cells__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8dc9a534","infected","pathogen_or_aggregate_exposure",1,1,NA,"Colorectal adenocarcinoma__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8dda5260","Neuropilin-2","genetic_knockdown",1,1,NA,"prostate__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8dfa9173","degenerated","disease_vs_normal",1,1,NA,"Nucleus pulposus__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e04745c",NA,"genetic_knockdown",1,1,NA,"Large intestine__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e052266","e2","small_molecule",1,1,NA,"endometrium__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e0b7afb",NA,"environmental",1,1,NA,"esophagus__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e1b38ad","alps-fas","disease_vs_normal",1,1,NA,"peripheral blood__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e319eb7","bladder tumor tissue","disease_vs_normal",1,1,NA,"bladder__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e607726","gfih","small_molecule",1,1,NA,"liver__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e687c32","methyl-CpG binding protein 2","genetic_knockout",1,1,NA,"brain__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e79d83f","pleg1a","genetic_overexpression",1,1,NA,"kidney__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e7e3bb6",NA,"genetic_overexpression",1,1,NA,"fibroblast__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e892ca3","redact-co","small_molecule",1,1,NA,"breast__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8e98e661","endometrial tumor","disease_vs_normal",1,1,NA,"endometrial tumor__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8ec8c707","lupus nephritis","disease_vs_normal",1,1,NA,"Kidney tubulointerstitium__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8ec92e71","head and neck squamous cell carcinoma (hnscc)","disease_vs_normal",1,1,NA,"blood platelet__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8f04803c",NA,"environmental",1,1,NA,"muscle__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8f2e06db","25mg/kg oral gavage twice daily","small_molecule",1,1,NA,"xenograft tumor__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8f59ac03","oral squamous cell carcinoma tissue","disease_vs_normal",1,1,NA,"oral cavity__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8f93a428","SIN3 transcription regulator family member A","genetic_knockout",1,1,NA,"breast__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8f9460c9","hcc peritumoral tissues","disease_vs_normal",1,1,NA,"Peritumor__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8f9cd1d7",NA,"differentiation",1,1,NA,"bone marrow__VS__differentiation",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8fa1d6ad","s2101","small_molecule",1,1,NA,"mammary gland__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8fca555c","jq1(+)","small_molecule",1,1,NA,"Peripheral Blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
