"entity","kind","level","n_members","n_override","k_membri","k_eff_pre","k_eff_post","gain"
"MeSH:D000544","disease_vs_normal",4,2,1,3,1,2,1
"MeSH:D000544","disease_vs_normal",3,2,1,3,1,2,1
"MeSH:D001172","disease_vs_normal",4,3,2,5,1,2,1
"MeSH:D001172","disease_vs_normal",3,3,2,5,1,2,1
"MeSH:D001749","disease_vs_normal",3,5,4,13,1,2,1
"MeSH:D001943","disease_vs_normal",4,6,5,31,1,2,1
"MeSH:D001943","disease_vs_normal",2,4,3,6,1,2,1
"MeSH:D001943","disease_vs_normal",3,2,1,5,1,2,1
"MeSH:D001943","disease_vs_normal",1,3,2,25,1,2,1
"MeSH:D001943","disease_vs_normal",0,3,2,23,1,2,1
"MeSH:D002292","disease_vs_normal",2,2,1,3,1,2,1
"MeSH:D002292","disease_vs_normal",1,2,1,3,1,2,1
"MeSH:D002292","disease_vs_normal",0,2,1,3,1,2,1
"MeSH:D003876","disease_vs_normal",2,2,1,6,1,2,1
"MeSH:D003876","disease_vs_normal",1,2,1,6,1,2,1
"MeSH:D003876","disease_vs_normal",0,2,1,6,1,2,1
"MeSH:D006528","disease_vs_normal",4,2,1,14,1,2,1
"MeSH:D006528","disease_vs_normal",3,2,1,9,1,2,1
"MeSH:D006528","disease_vs_normal",2,3,2,4,1,2,1
"MeSH:D006528","disease_vs_normal",1,3,2,4,1,2,1
"MeSH:D006528","disease_vs_normal",0,3,2,4,1,2,1
"MeSH:D008268","disease_vs_normal",4,3,2,3,1,2,1
"MeSH:D008268","disease_vs_normal",3,3,2,3,1,2,1
"MeSH:D011471","disease_vs_normal",2,2,1,4,1,2,1
"MeSH:D011471","disease_vs_normal",1,2,1,4,1,2,1
"MeSH:D011471","disease_vs_normal",0,3,2,5,1,2,1
"MeSH:D012595","disease_vs_normal",4,3,2,3,1,2,1
"MeSH:D013964","disease_vs_normal",3,3,2,4,1,2,1
"MeSH:D015179","disease_vs_normal",4,3,2,3,1,2,1
"MeSH:D015179","disease_vs_normal",4,3,2,5,1,2,1
"MeSH:D015179","disease_vs_normal",3,12,11,57,1,2,1
"MeSH:D015179","disease_vs_normal",3,13,12,44,1,2,1
"MeSH:D015179","disease_vs_normal",3,3,2,3,1,2,1
"MeSH:D015179","disease_vs_normal",3,3,2,4,1,2,1
"MeSH:D015179","disease_vs_normal",3,4,3,7,1,2,1
"MeSH:D064726","disease_vs_normal",4,28,27,29,1,2,1
"MeSH:D065627","disease_vs_normal",4,2,1,4,1,2,1
"MeSH:D065627","disease_vs_normal",3,2,1,4,1,2,1
"CHEBI:17688","environmental",4,4,3,3,1,2,1
"MeSH:D003110","environmental",3,2,1,6,1,2,1
"MeSH:D011839","environmental",4,3,2,5,1,2,1
"NCBITaxon:2697049","environmental",4,4,3,3,1,2,1
"HGNC:1915","genetic_knockdown",4,2,1,3,1,2,1
"HGNC:3373","genetic_knockdown",4,2,1,3,1,2,1
"NCBITaxon:10407","pathogen_or_aggregate_exposure",1,2,1,3,1,2,1
"NCBITaxon:10407","pathogen_or_aggregate_exposure",0,2,1,3,1,2,1
"NCBITaxon:11309","pathogen_or_aggregate_exposure",4,5,4,7,1,2,1
"NCBITaxon:11309","pathogen_or_aggregate_exposure",3,5,4,6,1,2,1
"NCBITaxon:12721","pathogen_or_aggregate_exposure",4,2,1,3,1,2,1
"NCBITaxon:1773","pathogen_or_aggregate_exposure",4,4,3,4,1,2,1
"NCBITaxon:210","pathogen_or_aggregate_exposure",4,5,4,4,1,2,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,4,3,3,1,2,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,4,3,3,1,2,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,3,2,3,1,2,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,2,1,7,1,2,1
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,2,1,3,1,2,1
"NCBITaxon:813","pathogen_or_aggregate_exposure",4,5,4,3,1,2,1
"CHEBI:137113","small_molecule",4,2,1,4,1,2,1
"CHEBI:137113","small_molecule",3,2,1,3,1,2,1
"CHEBI:16330","small_molecule",3,5,4,4,1,2,1
"CHEBI:2038","small_molecule",4,4,3,3,1,2,1
"CHEBI:28748","small_molecule",4,3,2,7,1,2,1
"CHEBI:28748","small_molecule",3,4,3,5,1,2,1
"CHEBI:31638","small_molecule",3,2,1,4,1,2,1
"CHEBI:36706","small_molecule",4,3,2,4,1,2,1
"CHEBI:41774","small_molecule",3,4,3,4,1,2,1
"CHEBI:7896","small_molecule",4,2,1,5,1,2,1
"HGNC:6001","cytokine_stim",3,2,1,5,0,1,1
"HGNC:6014","cytokine_stim",4,3,2,3,0,1,1
"MeSH:D000069797","differentiation",4,2,1,3,0,1,1
"MeSH:D000069797","differentiation",3,2,1,3,0,1,1
