"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L3_dc8d9c20","small_molecule","group",3,"UNK",NA,12,12,0,5,5,"STR:25mg_kg_oral_gavage_twice_daily|STR:acala_azd5153_0_5mgkg|STR:acala_azd5153_0_72mgkg|STR:mbp50_wild_type_peptide_10_mg_kg|STR:mutant_type_peptide_10_mg_kg",TRUE
"group_L3_dc9a2ec7","small_molecule","group",2,"UNK",NA,5,5,0,1,1,"STR:drug_treated",FALSE
"group_L3_dccd4c8f","disease_vs_normal","group",2,"UNK",NA,76,76,3,0,3,"MeSH:D001749|STR:primary_tumor|STR:recurrent_tumor",TRUE
"group_L3_dcff1ba0","small_molecule","group",2,"STR:transforming growth factor beta","Transforming growth factor beta",9,9,0,2,2,"STR:rna|STR:tgfb_treatment",TRUE
"group_L3_dd012089","small_molecule","group",9,"UNK",NA,101,101,0,14,14,"CHEBI:230500|CHEBI:27777|CHEBI:75991|CHEBI:95077|STR:1",TRUE
"group_L3_dd13ef0a","small_molecule","group",15,"UNK",NA,51,51,0,16,16,"CHEBI:189652|CHEBI:190969|CHEBI:76277|STR:100ng_ml_bft2|STR:5_aza_cdr",TRUE
"group_L3_dd25e9bc","small_molecule","group",2,"CHEBI:75597","dT<small><sub>8</sub></small>",6,6,0,2,2,"STR:500_nm_crizotinib_25_nm_afatinib|STR:500nm_crizotinib",TRUE
"group_L3_dd47291b","disease_vs_normal","group",2,"UNK",NA,3,3,1,0,1,"STR:asd",FALSE
"group_L3_dd4cf234","small_molecule","group",2,"STR:um171","UM171",7,7,0,1,1,"STR:um171",FALSE
"group_L3_dd680787","pathogen_or_aggregate_exposure","group",2,"UNK",NA,8,8,0,1,1,"STR:sars_cov_2_mneongreen_moi_1",FALSE
"group_L3_dd6be7cc","disease_vs_normal","group",3,"UNK",NA,17,17,3,0,3,"MeSH:D013167|STR:breast_cancer_serum_with_recurrence|STR:hcc",TRUE
"group_L3_dd8af543","small_molecule","group",2,"CHEBI:63630","tolcapone",3,3,0,1,1,"CHEBI:68478",FALSE
