series	n_sc	n_total	frac_sc	role	geo	libsrc	title	src
GSE230348	2	3	0.666666666666667	SC	GSM7441355	transcriptomic single cell	22-47878-mRPE	Macula Choroid
GSE230348	2	3	0.666666666666667	SC	GSM7441356	transcriptomic single cell	22-47878-tRet	Peripheral Retina
GSE230348	2	3	0.666666666666667	BULK	GSM7473535	transcriptomic	23-1099-tRet	Peripheral Retina
GSE179159	5	8	0.625	SC	GSM6976304	transcriptomic single cell	Fresh 1495	Coronary Artery
GSE179159	5	8	0.625	SC	GSM6976305	transcriptomic single cell	Frozen 1495	Coronary Artery
GSE179159	5	8	0.625	BULK	GSM5410853	transcriptomic	Fresh ROB2026	Carotid Artery
GSE179159	5	8	0.625	BULK	GSM5410854	transcriptomic	Frozen ROB2026	Carotid Artery
GSE212996,GSE212998	9	15	0.6	SC	GSM6568250	transcriptomic single cell	Tcell_pre_expansion_GFP-positive_GEM-well1_TCR	Peripheral blood
GSE212996,GSE212998	9	15	0.6	SC	GSM6568251	transcriptomic single cell	Tcell_pre_expansion_GFP-positive_GEM-well2_TCR	Peripheral blood
GSE212996,GSE212998	9	15	0.6	BULK	GSM6568253	other	Tcell_pre_expansion_GFP-positive_GEM-well1_CITE	Peripheral blood
GSE212996,GSE212998	9	15	0.6	BULK	GSM6568254	other	Tcell_pre_expansion_GFP-positive_GEM-well2_CITE	Peripheral blood
GSE154873	4	7	0.571428571428571	SC	GSM6418439	transcriptomic single cell	Breast cancer organoid - HCI003	Patient derived organoid - HCI003
GSE154873	4	7	0.571428571428571	SC	GSM6418440	transcriptomic single cell	Breast cancer organoid - HCI003, HTO	Patient derived organoid - HCI003
GSE154873	4	7	0.571428571428571	BULK	GSM4681761	transcriptomic	Breast cancer cells - T47D	Breast cancer cell line
GSE154873	4	7	0.571428571428571	BULK	GSM4681762	transcriptomic	Breast cancer cells - ZR	Breast cancer cell line
GSE239651	35	62	0.564516129032258	SC	GSM7669374	transcriptomic single cell	control1_ispinesib_day3_GEX	TS543
GSE239651	35	62	0.564516129032258	SC	GSM7669375	transcriptomic single cell	control1_none_day0_GEX	TS543
GSE239651	35	62	0.564516129032258	BULK	GSM7669346	other	celltag1_none_day0_CellTag	TS543
GSE239651	35	62	0.564516129032258	BULK	GSM7669347	other	celltag1_DMSO_day3_CellTag	TS543
GSE211362	20	37	0.540540540540541	SC	GSM6467389	transcriptomic single cell	Pool 1, mRNA derived cDNA	Brain tissue
GSE211362	20	37	0.540540540540541	SC	GSM6467391	transcriptomic single cell	Pool 2, mRNA derived cDNA	Brain tissue
GSE211362	20	37	0.540540540540541	BULK	GSM6467390	other	Pool 1, HTO derived cDNA	Brain tissue
GSE211362	20	37	0.540540540540541	BULK	GSM6467392	other	Pool 2, HTO derived cDNA	Brain tissue
GSE232073,GSE232074	12	24	0.5	SC	GSM7311450	transcriptomic single cell	Patient 9 HSPCs, mRNA-derived cDNA	Bone Marrow/Peripheral Blood
GSE232073,GSE232074	12	24	0.5	SC	GSM7311452	transcriptomic single cell	Patient 6 HSPCs, mRNA-derived cDNA	Bone Marrow/Peripheral Blood
GSE232073,GSE232074	12	24	0.5	BULK	GSM7311451	other	Patient 9 HSPCs, ADT-derived cDNA	Bone Marrow/Peripheral Blood
GSE232073,GSE232074	12	24	0.5	BULK	GSM7311453	other	Patient 6 HSPCs, ADT-derived cDNA	Bone Marrow/Peripheral Blood
GSE244889	6	12	0.5	SC	GSM7831813	transcriptomic single cell	Pa-17F,grade 1,  MDD 1, scRNAseq	nucleus pulposus tissue
