cluster_id	method	n_total	n_drop_a1	n_drop_a2	n_drop_a3_scprob	n_drop_a3_libsize	n_drop_union_sc	frac_sc
pair_L3_d3939e4e	mega_aug	47	0	0	0	0	0	0
pair_L3_d7b33582	mega_aug	13	0	0	0	0	0	0
pair_L3_d8550b3f	mega_aug	23	0	0	0	0	0	0
pair_L3_d87cb699	mega_aug	51	0	0	0	0	0	0
pair_L3_da483d70	mega_aug	6	0	0	0	0	0	0
pair_L3_dcf05446	mega_aug	13	0	0	0	0	0	0
pair_L3_dd1df60d	mega_aug	16	0	0	0	0	0	0
pair_L3_e0965436	mega_aug	10	0	0	0	0	0	0
pair_L3_e0a4ed16	mega_aug	14	0	0	0	0	0	0
pair_L3_e4018f3f	mega_aug	12	0	0	0	0	0	0
pair_L3_e4bd69e5	mega_aug	17	0	0	0	0	0	0
pair_L3_e60e7a73	mega_aug	9	0	0	0	0	0	0
pair_L3_e692b948	mega_aug	12	0	0	0	0	0	0
pair_L3_e6959e06	mega_aug	12	0	0	0	0	0	0
pair_L3_e6a6b09e	mega_aug	22	0	0	0	0	0	0
pair_L3_e778b914	mega_aug	14	0	0	0	0	0	0
pair_L3_e807c076	mega_aug	6	0	0	0	0	0	0
pair_L3_e9c82fce	mega_aug	11	0	0	0	0	0	0
pair_L3_ea5c17df	mega_aug	18	0	0	0	0	0	0
pair_L3_ec7b7759	mega_aug	12	0	0	0	0	0	0
pair_L3_effa19fa	mega_aug	12	0	0	0	0	0	0
pair_L3_f4d1352d	mega_aug	15	0	0	0	0	0	0
pair_L3_f7bc5146	mega_aug	25	0	0	0	0	0	0
pair_L3_f9cb1750	mega_aug	31	0	0	0	0	0	0
pair_L3_fa6578f0	mega_aug	10	0	0	0	0	0	0
pair_L3_fa79ce04	mega_aug	11	0	0	0	0	0	0
pair_L3_fea89542	mega_aug	19	0	0	0	0	0	0
pair_L3_feaffd63	mega_aug	10	0	0	0	0	0	0
pair_L3_fedb1f48	mega_aug	36	0	0	0	0	0	0
pair_L4_002b179c	mega_aug	25	0	0	0	0	0	0
pair_L4_005a5d6a	mega_aug	9	0	0	0	0	0	0
pair_L4_01f3d498	mega_aug	11	0	0	0	1	0	0
pair_L4_0299d40d	mega_aug	20	0	0	0	0	0	0
pair_L4_04caf353	mega_aug	13	0	0	0	0	0	0
pair_L4_04db2afb	mega_aug	25	0	0	0	0	0	0
pair_L4_05e6009f	mega_aug	13	0	0	0	0	0	0
pair_L4_06122d6a	mega_aug	8	0	0	0	0	0	0
pair_L4_06cee1fa	mega_aug	17	0	0	0	0	0	0
pair_L4_07033b84	mega_aug	14	0	0	0	0	0	0
pair_L4_07afca13	mega_aug	8	0	0	0	0	0	0
pair_L4_08310305	mega_aug	12	0	0	0	0	0	0
pair_L4_088303bf	mega_aug	16	0	4	0	0	4	0.25
pair_L4_08e3ec86	mega_aug	37	0	0	0	0	0	0
pair_L4_0a51ad5e	mega_aug	9	0	0	0	0	0	0
pair_L4_0d451fc0	mega_aug	12	0	0	0	0	0	0
pair_L4_0ffa8c69	mega_aug	6	0	0	0	0	0	0
pair_L4_10045972	mega_aug	16	0	0	0	0	0	0
pair_L4_11becd48	mega_aug	22	0	0	0	0	0	0
pair_L4_12420c62	mega_aug	11	0	0	0	0	0	0
pair_L4_139ca41a	mega_aug	12	0	0	0	0	0	0
pair_L4_14c7f103	mega_aug	47	0	0	0	0	0	0
pair_L4_16c0d9aa	mega_aug	8	0	0	0	0	0	0
pair_L4_1746728a	mega_aug	12	0	0	0	0	0	0
pair_L4_17e4a563	mega_aug	36	0	0	0	0	0	0
pair_L4_1aa2cd4e	mega_aug	27	0	0	0	0	0	0
pair_L4_1f924a1c	mega_aug	10	0	10	0	0	10	1
pair_L4_2282d067	mega_aug	10	0	0	0	0	0	0
pair_L4_23453e76	mega_aug	11	0	0	0	0	0	0
pair_L4_25ee1af1	mega_aug	5	0	0	0	0	0	0
pair_L4_27a48d64	mega_aug	13	0	0	0	0	0	0
pair_L4_307b0e07	mega_aug	14	0	6	0	0	6	0.428571428571429
pair_L4_331112ee	mega_aug	33	0	0	0	0	0	0
pair_L4_332f5aa3	mega_aug	23	0	0	0	0	0	0
pair_L4_3937a91b	mega_aug	17	0	0	0	0	0	0
pair_L4_3af1daef	mega_aug	16	0	0	0	0	0	0
pair_L4_3bc7eb00	mega_aug	14	0	0	0	0	0	0
pair_L4_3d971134	mega_aug	12	0	6	0	0	6	0.5
pair_L4_3fb928e5	mega_aug	51	0	0	0	0	0	0
pair_L4_409aa2b2	mega_aug	12	0	0	0	0	0	0
pair_L4_40e87895	mega_aug	13	0	0	0	0	0	0
pair_L4_48af5658	mega_aug	52	0	12	0	0	12	0.230769230769231
pair_L4_4b7d788f	mega_aug	23	0	0	0	0	0	0
pair_L4_4b831df8	mega_aug	18	0	0	0	0	0	0
pair_L4_50775f39	mega_aug	16	0	0	0	0	0	0
pair_L4_51b6b4db	mega_aug	25	0	0	0	4	0	0
pair_L4_55875d1b	mega_aug	24	0	0	0	0	0	0
pair_L4_55fc2332	mega_aug	10	0	0	0	0	0	0
pair_L4_566ff90d	mega_aug	12	0	0	0	0	0	0
pair_L4_56cfa222	mega_aug	11	0	0	0	0	0	0
pair_L4_58a69c03	mega_aug	24	0	0	0	0	0	0
pair_L4_592d6450	mega_aug	7	0	0	0	0	0	0
pair_L4_5a71d79e	mega_aug	22	0	0	0	0	0	0
pair_L4_5cd34043	mega_aug	12	0	0	0	0	0	0
pair_L4_605808b4	mega_aug	9	0	0	0	0	0	0
pair_L4_6155f541	mega_aug	10	0	0	0	0	0	0
pair_L4_6672df70	mega_aug	14	0	0	0	0	0	0
pair_L4_67773726	mega_aug	12	0	0	0	0	0	0
pair_L4_68f54b5e	mega_aug	9	0	0	0	0	0	0
pair_L4_6997ac4a	mega_aug	12	0	0	0	0	0	0
pair_L4_6a377f37	mega_aug	11	0	0	0	0	0	0
pair_L4_6a3ba59f	mega_aug	11	0	0	0	0	0	0
pair_L4_6c197c10	mega_aug	10	0	0	0	0	0	0
pair_L4_6ca14ad3	mega_aug	12	0	0	0	0	0	0
pair_L4_6e772486	mega_aug	20	0	0	0	0	0	0
pair_L4_75628a3b	mega_aug	16	0	0	0	1	0	0
pair_L4_75ae50f8	mega_aug	20	0	0	0	5	0	0
pair_L4_78530ef5	mega_aug	12	0	0	0	0	0	0
pair_L4_7a110acf	mega_aug	11	0	0	0	0	0	0
pair_L4_822a4e5c	mega_aug	12	0	0	0	0	0	0
pair_L4_875da822	mega_aug	14	0	0	0	0	0	0
pair_L4_89441121	mega_aug	11	0	0	0	0	0	0
pair_L4_8c2a5404	mega_aug	12	0	0	0	0	0	0
pair_L4_8d33b32b	mega_aug	16	0	0	0	0	0	0
pair_L4_8d94c372	mega_aug	10	0	0	0	0	0	0
pair_L4_8dacf4ca	mega_aug	12	0	0	0	0	0	0
pair_L4_8f36d7ff	mega_aug	18	0	0	0	0	0	0
pair_L4_8feddd0d	mega_aug	11	0	0	0	0	0	0
pair_L4_9349a22f	mega_aug	18	0	0	0	0	0	0
pair_L4_936d3b5a	mega_aug	11	0	5	0	0	5	0.454545454545455
pair_L4_943fb99c	mega_aug	12	0	0	0	0	0	0
pair_L4_970ebeea	mega_aug	13	0	0	0	0	0	0
pair_L4_975583eb	mega_aug	14	0	0	0	0	0	0
pair_L4_9dc25d16	mega_aug	18	0	0	0	0	0	0
