"n","scheda","nome","entita","verso","controllo","cluster_id","studi","campioni","verdetto"
153,"153-GSK-J4-k03.txt","GSK-J4","CHEBI:95077","gain","vehicle_untreated","cgroup_L5_4041e3af",3,22,"incerta"
154,"154-RITUXIMAB-k03.txt","RITUXIMAB","CHEMBL:CHEMBL1201576","gain","vehicle_untreated","cgroup_L5_5e0c0fae",3,60,"corretta"
155,"155-CETUXIMAB-k03.txt","CETUXIMAB","CHEMBL:CHEMBL1201577","gain","vehicle_untreated","cgroup_L5_b2645a34",3,111,"incerta"
156,"156-DUBERMATINIB-k03.txt","DUBERMATINIB","CHEMBL:CHEMBL2022968","gain","vehicle_untreated","cgroup_L5_f2481870",3,38,"corretta"
157,"157-IPATASERTIB-k03.txt","IPATASERTIB","CHEMBL:CHEMBL2177390","gain","vehicle_untreated","cgroup_L5_f56d966d",3,17,"corretta"
158,"158-MIVEBRESIB-k03.txt","MIVEBRESIB","CHEMBL:CHEMBL3987016","gain","vehicle_untreated","cgroup_L5_28bee975",3,14,"corretta"
159,"159-taz___yap-k03.txt","taz + yap","COMBO:taz+yap","block","control sirna","cgroup_L5_aad8ed47",3,33,"difettosa"
160,"160-BMP4-k03.txt","BMP4","HGNC:1071","gain","vehicle_untreated","cgroup_L5_344e058f",3,56,"incerta"
161,"161-IL15-k03.txt","IL15","HGNC:5977","gain","vehicle_untreated","cgroup_L5_bd40f34f",3,65,"difettosa"
162,"162-IL1A-k03.txt","IL1A","HGNC:5991","gain","vehicle_untreated","cgroup_L5_3973fe03",3,26,"difettosa"
163,"163-IL21-k03.txt","IL21","HGNC:6005","gain","vehicle_untreated","cgroup_L5_2d53def6",3,45,"difettosa"
164,"164-Smokers-k03.txt","Smokers","MeSH:D000074285","gain","non smoker","cgroup_L5_eba39954",3,113,"corretta"
165,"165-Arthritis__Rheumatoid-k03.txt","Arthritis, Rheumatoid","MeSH:D001172","gain","vehicle_untreated","cgroup_L5_f29dd3b3",3,266,"corretta"
166,"166-Carcinoma__Renal_Cell-k03.txt","Carcinoma, Renal Cell","MeSH:D002292","gain","vehicle_untreated","cgroup_L5_c040a36d",3,63,"corretta"
167,"167-Diabetes_Mellitus__Type_1-k03.txt","Diabetes Mellitus, Type 1","MeSH:D003922","gain","vehicle_untreated","cgroup_L5_387b0d1a",3,76,"corretta"
168,"168-Lupus_Erythematosus__Systemic-k03.txt","Lupus Erythematosus, Systemic","MeSH:D008180","gain","vehicle_untreated","cgroup_L5_a69fcae5",3,45,"corretta"
169,"169-Neoplasm_Metastasis-k03.txt","Neoplasm Metastasis","MeSH:D009362","gain","vehicle_untreated","cgroup_L5_3b91a21d",3,62,"incerta"
170,"170-Pituitary_Neoplasms-k03.txt","Pituitary Neoplasms","MeSH:D010911","gain","vehicle_untreated","cgroup_L5_dac1b45f",3,34,"corretta"
171,"171-Spondylitis__Ankylosing-k03.txt","Spondylitis, Ankylosing","MeSH:D013167","gain","vehicle_untreated","cgroup_L5_6ee86f02",3,19,"corretta"
172,"172-Diabetes__Gestational-k03.txt","Diabetes, Gestational","MeSH:D016640","gain","vehicle_untreated","cgroup_L5_729b276d",3,69,"corretta"
173,"173-Fusobacterium_nucleatum-k03.txt","Fusobacterium nucleatum","NCBITaxon:851","gain","vehicle_untreated","cgroup_L5_44420e6e",3,16,"corretta"
174,"174-1_25_oh_2d3-k03.txt","1 25 oh 2d3","STR:1_25_oh_2d3","gain","vehicle_untreated","cgroup_L5_47e67cab",3,55,"corretta"
175,"175-5_aza-k03.txt","5 aza","STR:5_aza","gain","vehicle_untreated","cgroup_L5_50ef2733",3,36,"incerta"
176,"176-asthma-k03.txt","asthma","STR:asthma","gain","vehicle_untreated","cgroup_L5_2a225fda",3,128,"difettosa"
177,"177-asthmatic-k03.txt","asthmatic","STR:asthmatic","gain","vehicle_untreated","cgroup_L5_f51ff620",3,836,"difettosa"
178,"178-bipolar_disorder-k03.txt","bipolar disorder","STR:bipolar_disorder","gain","vehicle_untreated","cgroup_L5_96c9f7bf",3,198,"corretta"
