"studio","n_ricevuti","n_collocati","n_persi","persi"
"GSE162694",143,91,52,"GSM4957326,GSM4957334,GSM4957337,GSM4957338,GSM4957339,GSM4957340,GSM4957341,GSM4957342,GSM4957343,GSM4957344,GSM4957346,GSM4957348,GSM4957349,GSM4957350,GSM4957351,GSM4957353,GSM4957354,GSM4957355,GSM4957356,GSM4957357,GSM4957360,GSM4957362,GSM4957365,GSM4957366,GSM4957375,GSM4957376,GSM4957384,GSM4957385,GSM4957389,GSM4957390,GSM4957391,GSM4957395,GSM4957396,GSM4957397,GSM4957400,GSM4957403,GSM4957407,GSM4957413,GSM4957418,GSM4957431,GSM4957432,GSM4957433,GSM4957437,GSM4957438,GSM4957440,GSM4957441,GSM4957444,GSM4957451,GSM4957456,GSM4957457,GSM4957461,GSM4957463"
"GSE162696",14,14,0,""
"GSE162828",10,10,0,""
"GSE162834",12,12,0,""
"GSE162960",54,54,0,""
"GSE163067",6,6,0,""
"GSE163196",25,25,0,""
"GSE163241",9,9,0,""
"GSE163333",8,8,0,""
"GSE163377",39,39,0,""
"GSE163548",46,46,0,""
"GSE163552",6,6,0,""
"GSE163827",18,18,0,""
"GSE163831",10,10,0,""
"GSE163908",6,6,0,""
"GSE163959",48,48,0,""
"GSE164073",18,18,0,""
"GSE164088",18,18,0,""
"GSE164247",12,12,0,""
"GSE164266",10,10,0,""
"GSE164332",16,16,0,""
"GSE164359",47,47,0,""
"GSE164541",15,15,0,""
"GSE164871",8,8,0,""
"GSE164884",16,16,0,""
"GSE165512",169,157,12,"GSM5035105,GSM5035113,GSM5035114,GSM5035117,GSM5035119,GSM5035121,GSM5035123,GSM5035129,GSM5035138,GSM5035156,GSM5035198,GSM5035200"
"GSE165543",6,6,0,""
"GSE165585",16,16,0,""
"GSE165767",6,6,0,""
"GSE166033",10,10,0,""
"GSE166214",12,12,0,""
"GSE167762",12,12,0,""
"GSE168462",61,53,8,"GSM5140870,GSM5140871,GSM5140872,GSM5140873,GSM5140899,GSM5140902,GSM5140923,GSM5140926"
"GSE168468",85,85,0,""
"GSE168496",16,16,0,""
"GSE168663",24,24,0,""
"GSE168670",12,12,0,""
"GSE169140",10,10,0,""
"GSE171073",16,16,0,""
"GSE171170",18,18,0,""
"GSE171255",10,10,0,""
"GSE171260",9,9,0,""
"GSE171358",11,11,0,""
"GSE171543",6,6,0,""
"GSE171560",6,6,0,""
"GSE171611",6,6,0,""
"GSE171638",12,12,0,""
"GSE171652",6,6,0,""
"GSE171750",15,15,0,""
"GSE171952",48,48,0,""
"GSE172032",8,8,0,""
"GSE172094",18,18,0,""
"GSE172205",12,12,0,""
"GSE172442",18,15,3,"GSM5256102,GSM5256108,GSM5256110"
"GSE172443",18,18,0,""
"GSE172444",24,14,10,"GSM5256134,GSM5256135,GSM5256141,GSM5256142,GSM5256144,GSM5256145,GSM5256146,GSM5256150,GSM5256153,GSM5256156"
"GSE172494",18,17,1,"GSM5257952"
"GSE173160",12,12,0,""
"GSE173201",12,12,0,""
"GSE173483",18,18,0,""
"GSE173670",31,31,0,""
"GSE173789",37,37,0,""
"GSE173807",12,12,0,""
"GSE174167",6,6,0,""
"GSE174237",11,11,0,""
"GSE174490",16,16,0,""
"GSE174618",16,16,0,""
"GSE174745",32,32,0,""
"GSE175436",10,10,0,""
"GSE175757",18,16,2,"GSM5345762,GSM5345763"
"GSE175764",8,8,0,""
"GSE175867",12,12,0,""
"GSE176006",22,22,0,""
"GSE176324",12,12,0,""
"GSE177034",196,196,0,""
"GSE178340",32,32,0,""
"GSE178374",12,12,0,""
"GSE178702",12,12,0,""
"GSE178714",24,24,0,""
"GSE178883",9,9,0,""
"GSE178901",9,9,0,""
"GSE179347",238,238,0,""
"GSE179381",8,8,0,""
"GSE179395",22,22,0,""
"GSE179420",18,18,0,""
"GSE179609",199,199,0,""
"GSE180067",10,10,0,""
"GSE180146",18,18,0,""
"GSE180180",23,23,0,""
"GSE180181",24,24,0,""
"GSE180243",6,6,0,""
"GSE180693",27,27,0,""
"GSE180760",7,7,0,""
"GSE180881",36,36,0,""
"GSE181003",12,12,0,""
"GSE181029",33,33,0,""
"GSE181176",10,10,0,""
"GSE181229",15,15,0,""
"GSE181364",8,8,0,""
"GSE181851",12,12,0,""
"GSE182144",12,12,0,""
"GSE182180",12,9,3,"GSM5520135,GSM5520136,GSM5520138"
"GSE182350",17,17,0,""
"GSE182875",32,32,0,""
"GSE182923",18,18,0,""
"GSE182957",16,16,0,""
"GSE183062",12,12,0,""
"GSE183487",31,31,0,""
"GSE183533",41,41,0,""
"GSE183947",59,59,0,""
"GSE184017",32,32,0,""
"GSE184029",36,36,0,""
"GSE184102",9,9,0,""
"GSE184156",24,16,8,"GSM5579305,GSM5579306,GSM5579309,GSM5579311,GSM5579330,GSM5579331,GSM5579333,GSM5579334"
"GSE184168",15,15,0,""
"GSE184427",128,109,19,"GSM5588772,GSM5588774,GSM5588778,GSM5588779,GSM5588784,GSM5588787,GSM5588789,GSM5588794,GSM5588796,GSM5588798,GSM5588799,GSM5588803,GSM5588815,GSM5588819,GSM5588820,GSM5588822,GSM5588823,GSM5588825,GSM5588838"
"GSE184891",24,22,2,"GSM5599680,GSM5599682"
"GSE185051",57,57,0,""
"GSE185064",8,8,0,""
"GSE185309",17,17,0,""
"GSE185373",20,20,0,""
"GSE185624",24,24,0,""
"GSE186054",6,6,0,""
"GSE186145",32,32,0,""
"GSE186257",44,44,0,""
"GSE186341",1631,1291,340,"GSM5644169,GSM5644367,GSM5644373,GSM5644490,GSM5644491,GSM5644493,GSM5644494,GSM5644495,GSM5644496,GSM5644497,GSM5644499,GSM5644502,GSM5644503,GSM5644504,GSM5644506,GSM5644509,GSM5644511,GSM5644512,GSM5644513,GSM5644515,GSM5644516,GSM5644518,GSM5644519,GSM5644521,GSM5644524,GSM5644525,GSM5644526,GSM5644528,GSM5644529,GSM5644532,GSM5644533,GSM5644534,GSM5644535,GSM5644537,GSM5644538,GSM5644540,GSM5644542,GSM5644545,GSM5644546,GSM5644547,GSM5644549,GSM5644550,GSM5644552,GSM5644553,GSM5644556,GSM5644557,GSM5644558,GSM5644559,GSM5644561,GSM5644562,GSM5644564,GSM5644566,GSM5644567,GSM5644569,GSM5644570,GSM5644571,GSM5644574,GSM5644576,GSM5644577,GSM5644579,GSM5644580,GSM5644582,GSM5644583,GSM5644584,GSM5644585,GSM5644586,GSM5644587,GSM5644591,GSM5644595,GSM5644597,GSM5644598,GSM5644599,GSM5644601,GSM5644603,GSM5644604,GSM5644605,GSM5644606,GSM5644607,GSM5644608,GSM5644609,GSM5644613,GSM5644614,GSM5644615,GSM5644617,GSM5644619,GSM5644620,GSM5644622,GSM5644623,GSM5644625,GSM5644626,GSM5644627,GSM5644628,GSM5644629,GSM5644630,GSM5644631,GSM5644632,GSM5644633,GSM5644634,GSM5644635,GSM5644636,GSM5644637,GSM5644638,GSM5644639,GSM5644640,GSM5644641,GSM5644642,GSM5644643,GSM5644644,GSM5644645,GSM5644646,GSM5644647,GSM5644648,GSM5644649,GSM5644685,GSM5644716,GSM5644720,GSM5644721,GSM5644778,GSM5644790,GSM5644801,GSM5644812,GSM5644852,GSM5644920,GSM5644961,GSM5644963,GSM5644973,GSM5644987,GSM5644999,GSM5645000,GSM5645003,GSM5645006,GSM5645007,GSM5645010,GSM5645020,GSM5645024,GSM5645028,GSM5645035,GSM5645056,GSM5645058,GSM5645072,GSM5645087,GSM5645097,GSM5645098,GSM5645102,GSM5645112,GSM5645113,GSM5645118,GSM5645122,GSM5645124,GSM5645136,GSM5645198,GSM5645200,GSM5645201,GSM5645215,GSM5645237,GSM5645241,GSM5645246,GSM5645257,GSM5645258,GSM5645267,GSM5645278,GSM5645283,GSM5645335,GSM5645336,GSM5645354,GSM5645355,GSM5645356,GSM5645369,GSM5645370,GSM5645378,GSM5645393,GSM5645394,GSM5645402,GSM5645412,GSM5645413,GSM5645421,GSM5645422,GSM5645424,GSM5645427,GSM5645429,GSM5645430,GSM5645437,GSM5645438,GSM5645446,GSM5645449,GSM5645452,GSM5645454,GSM5645460,GSM5645461,GSM5645466,GSM5645467,GSM5645471,GSM5645474,GSM5645475,GSM5645478,GSM5645479,GSM5645482,GSM5645483,GSM5645487,GSM5645488,GSM5645489,GSM5645492,GSM5645493,GSM5645498,GSM5645499,GSM5645500,GSM5645501,GSM5645504,GSM5645505,GSM5645509,GSM5645511,GSM5645513,GSM5645516,GSM5645517,GSM5645521,GSM5645525,GSM5645526,GSM5645531,GSM5645534,GSM5645535,GSM5645542,GSM5645543,GSM5645546,GSM5645547,GSM5645550,GSM5645551,GSM5645553,GSM5645554,GSM5645555,GSM5645558,GSM5645559,GSM5645562,GSM5645563,GSM5645566,GSM5645567,GSM5645571,GSM5645573,GSM5645575,GSM5645577,GSM5645582,GSM5645583,GSM5645585,GSM5645587,GSM5645589,GSM5645591,GSM5645594,GSM5645596,GSM5645597,GSM5645599,GSM5645601,GSM5645602,GSM5645605,GSM5645608,GSM5645613,GSM5645619,GSM5645621,GSM5645623,GSM5645624,GSM5645627,GSM5645628,GSM5645629,GSM5645630,GSM5645631,GSM5645635,GSM5645637,GSM5645640,GSM5645642,GSM5645643,GSM5645646,GSM5645647,GSM5645650,GSM5645651,GSM5645652,GSM5645653,GSM5645654,GSM5645658,GSM5645661,GSM5645662,GSM5645664,GSM5645666,GSM5645670,GSM5645671,GSM5645674,GSM5645677,GSM5645678,GSM5645684,GSM5645686,GSM5645691,GSM5645695,GSM5645696,GSM5645698,GSM5645699,GSM5645701,GSM5645706,GSM5645707,GSM5645708,GSM5645713,GSM5645714,GSM5645717,GSM5645719,GSM5645720,GSM5645721,GSM5645723,GSM5645729,GSM5645732,GSM5645733,GSM5645734,GSM5645735,GSM5645736,GSM5645737,GSM5645738,GSM5645739,GSM5645740,GSM5645743,GSM5645744,GSM5645745,GSM5645746,GSM5645747,GSM5645748,GSM5645750,GSM5645752,GSM5645753,GSM5645758,GSM5645771,GSM5645772,GSM5645775,GSM5645776,GSM5645787,GSM5645789,GSM5645796,GSM5645797,GSM5645805,GSM5645809,GSM5645823,GSM5645824,GSM5645825,GSM5645829,GSM5645842,GSM5645844,GSM5645860"
"GSE186396",12,12,0,""
"GSE186709",24,24,0,""
"GSE186961",12,12,0,""
"GSE187006",12,12,0,""
"GSE188234",15,15,0,""
"GSE188382",16,16,0,""
"GSE188458",21,21,0,""
"GSE188469",52,52,0,""
"GSE188938",12,12,0,""
"GSE188952",11,11,0,""
"GSE188958",18,9,9,"GSM5692438,GSM5692439,GSM5692440,GSM5692441,GSM5692442,GSM5692443,GSM5692448,GSM5692451,GSM5692452"
"GSE189136",19,19,0,""
"GSE189199",50,50,0,""
"GSE189376",24,24,0,""
"GSE189504",8,8,0,""
"GSE189706",18,18,0,""
"GSE189764",12,12,0,""
"GSE189919",45,45,0,""
"GSE189997",81,79,2,"GSM5711146,GSM5711171"
"GSE190031",9,9,0,""
