"study_id","esito"
"GSE218167","chiavi identiche"
"GSE218556","chiavi identiche"
"GSE218606","chiavi identiche"
"GSE218860","chiavi identiche"
"GSE219065","chiavi identiche"
"GSE219159","entra da fuori nel deliverable"
"GSE220038","chiavi identiche"
"GSE220061","entra da fuori nel deliverable"
"GSE220806","chiavi identiche"
"GSE220972","chiavi identiche"
"GSE221240","chiavi identiche"
"GSE221398","chiavi identiche"
"GSE221475","la chiave sparisce senza sostituta"
"GSE221511","chiavi identiche"
"GSE221563","chiavi identiche"
"GSE221804","entra da fuori nel deliverable"
"GSE222199","entra da fuori nel deliverable"
"GSE222279","chiavi identiche"
"GSE222376","chiavi identiche"
"GSE222658","chiavi identiche"
"GSE222676","entra da fuori nel deliverable"
"GSE222749","chiavi identiche"
"GSE222992","chiavi identiche"
"GSE223119","entra da fuori nel deliverable"
"GSE223372","chiavi identiche"
"GSE223405","entra da fuori nel deliverable"
"GSE223514","entra da fuori nel deliverable"
"GSE223524","entra da fuori nel deliverable"
"GSE223543","chiavi identiche"
"GSE223682","chiavi identiche"
"GSE223758","solo chiavi nuove, nessuna persa"
"GSE223839","chiavi identiche"
"GSE223893","chiavi identiche"
"GSE224715","entra da fuori nel deliverable"
"GSE224758","entra da fuori nel deliverable"
"GSE225095","chiavi identiche"
"GSE225159","chiavi identiche"
"GSE225253","chiavi identiche"
"GSE225274","entra da fuori nel deliverable"
"GSE225481","chiavi identiche"
"GSE225517","chiavi identiche"
"GSE225537","chiavi identiche"
"GSE225549","chiavi identiche"
"GSE225564","chiavi identiche"
"GSE225683","entra da fuori nel deliverable"
"GSE225731","chiavi identiche"
"GSE225751","chiavi identiche"
"GSE225846","chiavi identiche"
"GSE225901","chiavi identiche"
"GSE226005","chiavi identiche"
"GSE226115","entra da fuori nel deliverable"
"GSE226146","chiavi identiche"
"GSE226186","chiavi identiche"
"GSE226232","chiavi identiche"
"GSE226239","chiavi identiche"
"GSE226280","chiavi identiche"
"GSE226358","chiavi identiche"
"GSE226406","entra da fuori nel deliverable"
"GSE226549","chiavi identiche"
"GSE226702","chiavi identiche"
"GSE227511","chiavi identiche"
"GSE227554","chiavi identiche"
"GSE227609","la chiave sparisce senza sostituta"
"GSE227839","chiavi identiche"
"GSE228090","chiavi identiche"
"GSE228173","chiavi identiche"
"GSE228210","chiavi identiche"
"GSE228458","entra da fuori nel deliverable"
"GSE228587","chiavi identiche"
"GSE228631","chiavi identiche"
"GSE228881","chiavi identiche"
"GSE228990","chiavi identiche"
"GSE229014","chiavi identiche"
"GSE229136","chiavi identiche"
"GSE229331","chiavi identiche"
"GSE229805","la chiave sparisce senza sostituta"
"GSE229967","entra da fuori nel deliverable"
"GSE230627","entra da fuori nel deliverable"
"GSE230791","chiavi identiche"
"GSE231324","chiavi identiche"
"GSE231397","chiavi identiche"
"GSE231460","chiavi identiche"
"GSE231480","chiavi identiche"
"GSE231591","chiavi identiche"
"GSE231611","chiavi identiche"
"GSE231686","chiavi identiche"
"GSE231871","chiavi identiche"
"GSE232072","entra da fuori nel deliverable"
"GSE232176","chiavi identiche"
"GSE232218","chiavi identiche"
"GSE232305","chiavi identiche"
"GSE232435","chiavi identiche"
"GSE232508","chiavi identiche"
"GSE232640","chiavi identiche"
"GSE232713","chiavi identiche"
"GSE232753","chiavi identiche"
"GSE233049","chiavi identiche"
"GSE233262","chiavi identiche"
"GSE233548","chiavi identiche"
"GSE234148","chiavi identiche"
"GSE234297","chiavi identiche"
"GSE234514","chiavi identiche"
"GSE234615","chiavi identiche"
"GSE234647","chiavi identiche"
"GSE234729","chiavi identiche"
"GSE234760","chiavi identiche"
"GSE234805","chiavi identiche"
"GSE235031","chiavi identiche"
"GSE235549","entra da fuori nel deliverable"
"GSE235681","chiavi identiche"
"GSE235704","entra da fuori nel deliverable"
"GSE235908","chiavi identiche"
"GSE236117","cambia l'ENTITA'"
"GSE236122","chiavi identiche"
"GSE236168","entra da fuori nel deliverable"
"GSE236205","chiavi identiche"
"GSE236286","chiavi identiche"
"GSE236331","chiavi identiche"
"GSE236441","chiavi identiche"
"GSE236502","chiavi identiche"
"GSE236742","chiavi identiche"
"GSE236746","chiavi identiche"
"GSE236896","chiavi identiche"
"GSE236998","chiavi identiche"
"GSE236999","chiavi identiche"
"GSE237052","entra da fuori nel deliverable"
"GSE237091","chiavi identiche"
"GSE237177","chiavi identiche"
"GSE237413","chiavi identiche"
"GSE237784","chiavi identiche"
"GSE237795","chiavi identiche"
"GSE237803","chiavi identiche"
"GSE237861","chiavi identiche"
"GSE239585","chiavi identiche"
"GSE239666","chiavi identiche"
"GSE239726","chiavi identiche"
"GSE239844","chiavi identiche"
"GSE240476","chiavi identiche"
"GSE240898","chiavi identiche"
"GSE241554","chiavi identiche"
"GSE241595","la chiave sparisce senza sostituta"
"GSE241903","chiavi identiche"
"GSE241942","la chiave sparisce senza sostituta"
