"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","esito","n_studi_tolti","spearman","n_sig_pieno","n_sig_persi","pct_sig_persi","max_abs_delta_logFC","k_pieno","k_ridotto","sopravvive","percentile_sig","percentile_spearman","percentile_delta","n_nulli","bracci_accusati","bracci_nulli_mediana"
"cgroup_L5_b71a25a2","JQ1",25,1,3.54612040862706,"difettosa","ok",1,0.937453001756953,9294,273,2.93737895416398,0.0391731593917528,25,24,TRUE,0.25,0.95,0.15,20,1,1
"cgroup_L5_debadb13","hepatitis B virus",4,1,1.1838168539162,"difettosa","ok",1,1,11,0,0,0.00310605369398151,3,3,TRUE,0,0,0,3,1,2
"cgroup_L5_dde29fb4","hydrogen peroxide",10,2,1.17909411457654,"difettosa","ok",2,0.958536099653225,1426,87,6.10098176718093,0.00521266725228475,9,8,TRUE,0,0,0,20,2,2
"cgroup_L5_905be893","IL1B",19,1,0.636866794826025,"incerta","ok",1,0.98150440251734,1875,22,1.17333333333333,0.207139064959814,19,18,TRUE,0,0,0.5,18,1,1
"cgroup_L5_004d293d","lapatinib",7,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_03b38818","vemurafenib",5,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_03d0ca7b","digoxin",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_05322ba1","omacetaxine",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_06ff1592","fluoxetine",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_089ccae5","bortezomib",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_0dd60753","Abemaciclib",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_12212e41","multiple sclerosis",7,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_12228932","EGF",6,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_16525349","ponatinib",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_17b35bdc","docetaxel",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_17b55386","fshd",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_1c7b64af","chloroquine",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_1d96b9da","poly(I:C)",11,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_1e8a735e","thapsigargin",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_2248a891","forskolin",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_24ae0579","4'-epidoxorubicin",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_28bee975","MIVEBRESIB",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3370a794","gilteritinib",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3437775a","sapanisertib",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_344e058f","BMP4",3,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_356eedd3","trichostatin A",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_35d1be10","nutlin 3a",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_36b956de","ptsd",3,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_37942548","all-trans-retinoic acid",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3824dc37","nash",6,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_387b0d1a","Diabetes Mellitus, Type 1",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3a625868","trastuzumab",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3b91a21d","Neoplasm Metastasis",3,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3d3658ad","liquiritigenin",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3d8c29f4","IL2",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3eaa92c9","rosiglitazone",5,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_3f0cc1fe","Colitis, Ulcerative",5,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_4041e3af","GSK-J4",3,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_41f7b088","gefitinib",7,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_44420e6e","Fusobacterium nucleatum",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_469db990","nahs",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_46a3a103","radiation",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_4753688f","r5020",6,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_479c6221","GSK126",6,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_47e67cab","1 25 oh 2d3",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_4811fc0c","calcitriol",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_49e290ae","cyclosporin A",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_4b901bf1","psoriasis",9,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_4be9e90d","PFOS",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_4d535f25","ykl 5 124",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_50ef2733","5 aza",3,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_535d97f6","imatinib",7,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_56d531e8","nicotinamide",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_57810d6c","resveratrol",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_5b9a08fb","methotrexate",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_5e0c0fae","RITUXIMAB",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_63e69fdc","Alzheimer Disease",6,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_64fbeb97","dimethyloxalylglycine",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_6df6a50e","sorafenib",11,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_6ee86f02","Spondylitis, Ankylosing",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_702a5dea","trametinib",8,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_70f8671b","medulloblastoma",3,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_729b276d","Diabetes, Gestational",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_74daf1c9","oscc",4,1,0,"difettosa","ok",1,0.993519384664153,3915,6,0.153256704980843,0.0011577647167984,3,3,TRUE,0,0,0,3,1,1
