"contrast_entity","n_gruppi_scartati","studi_slot","gse_superstiti","direzioni","controlli","nome","livello_max","gse_indipendenti","lista_indipendenti","meta214","k_effective_214","n_sig_214"
"CHEBI:233362",1,1,1,"gain","vehicle_untreated","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","c_assente",0,NA,0,NA,NA
"CHEBI:25255",1,1,1,"gain","vehicle_untreated","xylobiose","c_assente",0,NA,0,NA,NA
"CHEBI:27881",1,1,1,"gain","vehicle_untreated","resveratrol","c_assente",0,NA,0,NA,NA
"CHEBI:28680",1,1,1,"gain","vehicle_untreated","Buchananine","c_assente",0,NA,0,NA,NA
"CHEBI:37415",1,1,1,"gain","vehicle_untreated","α-amanitin","c_assente",0,NA,0,NA,NA
"CHEBI:47344",1,1,1,"gain","vehicle_untreated","Fibrin","c_assente",0,NA,0,NA,NA
"CHEBI:5118",1,1,1,"gain","vehicle_untreated","fluoxetine","c_assente",0,NA,0,NA,NA
"CHEBI:61076",1,1,1,"gain","vehicle_untreated","belinostat","c_assente",0,NA,0,NA,NA
"CHEBI:6704",1,1,1,"gain","vehicle_untreated","mebendazole","c_assente",0,NA,0,NA,NA
"CHEBI:73572",1,1,1,"gain","vehicle_untreated","lipoteichoic acid","c_assente",0,NA,0,NA,NA
"CHEBI:79369",1,1,1,"gain","vehicle_untreated","elesclomol","c_assente",0,NA,0,NA,NA
"CHEBI:81571",1,1,1,"gain","vehicle_untreated","<em>N</em>-hydroxydihomomethionine","c_assente",0,NA,0,NA,NA
"CHEBI:9150",1,1,1,"gain","vehicle_untreated","simvastatin","c_assente",0,NA,0,NA,NA
"CHEMBL:CHEMBL2107881",1,1,1,"gain","vehicle_untreated","2-hydroxy-6-oxohexa-2,4-dienoic acid","c_assente",0,NA,0,NA,NA
"CHEMBL:CHEMBL3544911",1,1,1,"gain","vehicle_untreated","PREXASERTIB","c_assente",0,NA,0,NA,NA
"HGNC:1100",1,1,1,"gain","wild type","breast cancer","c_assente",0,NA,0,NA,NA
"HGNC:1101",1,1,1,"gain","wild type","breast cancer","c_assente",0,NA,0,NA,NA
"HGNC:11998",1,1,1,"block","vehicle_untreated","TP53","c_assente",0,NA,0,NA,NA
"HGNC:2434",1,1,1,"gain","vehicle_untreated","<small>L</small>-arabinono-1,4-lactone","c_assente",0,NA,0,NA,NA
"HGNC:6407",1,1,1,"gain","vehicle_untreated","KRAS","c_assente",0,NA,0,NA,NA
"MeSH:D012008",1,1,1,"gain","diagnosis","pediatric b-cell acute lymphoblastic leukemias","c_assente",0,NA,0,NA,NA
"MeSH:D015470",1,1,1,"gain","vehicle_untreated","Antifibrinolytic Agents","c_assente",0,NA,0,NA,NA
"MeSH:D015535",1,1,1,"gain","vehicle_untreated","acute lymphoblastic leukemia","c_assente",0,NA,0,NA,NA
"NCBITaxon:10298",1,1,1,"gain","vehicle_untreated","hsv-1","c_assente",0,NA,0,NA,NA
"NCBITaxon:32644",1,1,1,"gain","vehicle_untreated","acute lymphoblastic leukemia","c_assente",0,NA,0,NA,NA
"STR:1_25_oh_2d3",1,1,1,"gain","vehicle_untreated","(<i>S</i>)-<em>N</em>-methylcanadine","c_assente",0,NA,0,NA,NA
"STR:biliary_atresia",1,1,1,"gain","vehicle_untreated","biliary atresia","c_assente",0,NA,0,NA,NA
"STR:diseased",1,1,1,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"STR:glioblastoma",1,1,1,"gain","vehicle_untreated","glioblastoma","c_assente",0,NA,0,NA,NA
"STR:jib_04",1,1,1,"gain","vehicle_untreated","Doxycycline","c_assente",0,NA,0,NA,NA
"STR:medulloblastoma",1,1,1,"gain","vehicle_untreated","medulloblastoma","c_assente",0,NA,0,NA,NA
"STR:osteosarcoma",1,1,1,"gain","vehicle_untreated","osteosarcoma","c_assente",0,NA,0,NA,NA
"STR:pathogen_or_aggregate_exposure",1,1,1,"gain","vehicle_untreated","","c_assente",0,NA,0,NA,NA
"STR:psoriasis_vulgaris",1,1,1,"gain","vehicle_untreated","psoriasis vulgaris","c_assente",0,NA,0,NA,NA
"STR:sikras",1,1,1,"gain","sicontrol","KRAS","c_assente",0,NA,0,NA,NA
"STR:sr2211",1,1,1,"gain","vehicle_untreated","sr2211","c_assente",0,NA,0,NA,NA
"CHEBI:189651",1,0,0,"gain","vehicle_untreated","dBET6","c_assente",0,NA,0,NA,NA
"CHEBI:2704",1,0,0,"gain","vehicle_untreated","anastrozole","c_assente",0,NA,0,NA,NA
"CHEBI:90195",1,0,0,"gain","vehicle_untreated","tacedinaline","c_assente",0,NA,0,NA,NA
"HGNC:8975",1,0,0,"gain","vehicle_untreated","PIK3CA","c_assente",0,NA,0,NA,NA
"MeSH:D002311",1,0,0,"gain","vehicle_untreated","Cardiomyopathy, Dilated","c_assente",0,NA,0,NA,NA
"MeSH:D008113",1,0,0,"gain","vehicle_untreated","hepatocellular carcinoma","c_assente",0,NA,0,NA,NA
"STR:covid",1,0,0,"gain","vehicle_untreated","human papillomavirus","c_assente",0,NA,0,NA,NA
"STR:dbrd9",1,0,0,"gain","vehicle_untreated","PGAP1","c_assente",0,NA,0,NA,NA
"STR:p16ink4a_positive_expression",1,0,0,"gain","p ink a negative expression","colorectal carcinoma","c_assente",0,NA,0,NA,NA
"STR:rbm4_knockdown",1,0,0,"block","vehicle_untreated","RBM4","c_assente",0,NA,0,NA,NA
"STR:senescent",1,0,0,"gain","vehicle_untreated","Aging","c_assente",0,NA,0,NA,NA
"STR:smoking",1,0,0,"gain","vehicle_untreated","smoking","c_assente",0,NA,0,NA,NA
"STR:srsf1_knockdown",1,0,0,"block","vehicle_untreated","serine and arginine rich splicing factor 1","c_assente",0,NA,0,NA,NA
