"cluster_id","k_effective","n_studi_poolati","contrast_entity","contrast_entity_label","contrast_direction","contrast_control_key","k_eff_mio","k_censito","n_studi_censiti","scarto"
"cgroup_L5_a739837c",3,3,"STR:adenoma","adenoma","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_a747a14e",4,4,"STR:pm2_5","pm2 5","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_a7509255",4,4,"NCBITaxon:1280","Staphylococcus aureus","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_a8015c98",5,5,"CHEBI:175901","gemcitabine","gain","vehicle_untreated",5,7,7,0
"cgroup_L5_a8d88150",4,4,"CHEBI:85994","lenvatinib","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_a8ff7b6d",5,5,"STR:atra","atra","gain","vehicle_untreated",5,9,9,0
"cgroup_L5_aa8c1d6d",5,5,"CHEBI:230508","birabresib","gain","vehicle_untreated",5,9,9,0
"cgroup_L5_aad8ed47",3,3,"COMBO:taz+yap","taz + yap","block","control sirna",3,3,3,0
"cgroup_L5_ae11259e",4,4,"CHEBI:71200","tofacitinib","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_ae969461",3,3,"CHEBI:47458","saracatinib","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_aecd610f",14,14,"STR:schizophrenia","schizophrenia","gain","vehicle_untreated",14,15,15,0
"cgroup_L5_b0066299",4,4,"STR:keloid","keloid","gain","vehicle_untreated",4,10,10,0
"cgroup_L5_b2affd22",6,6,"MeSH:D011225","Pre-Eclampsia","gain","vehicle_untreated",6,9,9,0
"cgroup_L5_b32ab7f6",9,9,"HGNC:5981","IL17A","gain","vehicle_untreated",9,12,12,0
"cgroup_L5_b3ccf1c1",3,3,"CHEBI:49960","vandetanib","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_b5db4aff",4,4,"CHEBI:229764","selinexor","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_b6b8bc00",15,15,"CHEBI:85993","palbociclib","gain","vehicle_untreated",15,26,26,0
"cgroup_L5_b71a25a2",25,25,"CHEBI:137113","JQ1","gain","vehicle_untreated",25,41,41,0
"cgroup_L5_b9c77320",4,4,"NCBITaxon:11676","HIV-1","gain","vehicle_untreated",4,6,6,0
"cgroup_L5_b9e7806c",3,3,"CHEBI:143122","THZ531","gain","vehicle_untreated",3,7,7,0
"cgroup_L5_ba4af011",7,7,"STR:irradiation","irradiation","gain","vehicle_untreated",7,7,7,0
"cgroup_L5_bb8cb388",7,7,"STR:endometriosis","endometriosis","gain","vehicle_untreated",7,9,9,0
"cgroup_L5_bd19fe42",9,9,"MeSH:D006528","Carcinoma, Hepatocellular","gain","vehicle_untreated",9,11,11,0
"cgroup_L5_bd40f34f",3,3,"HGNC:5977","IL15","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_be15b706",12,12,"HGNC:5973","IL13","gain","vehicle_untreated",12,15,15,0
"cgroup_L5_c040a36d",4,4,"MeSH:D002292","Carcinoma, Renal Cell","gain","vehicle_untreated",4,5,5,0
