"cluster_id","key","ruolo","contrast_entity","contrast_direction","contrast_control_key","k","n_studies","level"
"cgroup_L5_7a9d880a","MeSH:D000077195||gain","vincente","MeSH:D000077195","gain","vehicle_untreated",3,3,5
"cgroup_L5_7b545f77","CHEBI:80630||gain","vincente","CHEBI:80630","gain","vehicle_untreated",6,6,5
"cgroup_L5_7ba0168b","STR:lupus||gain","vincente","STR:lupus","gain","vehicle_untreated",3,3,5
"cgroup_L5_7cc951b5","NCBITaxon:10298||gain","vincente","NCBITaxon:10298","gain","vehicle_untreated",5,5,5
"cgroup_L5_7cda77c1","CHEBI:90195||gain","vincente","CHEBI:90195","gain","vehicle_untreated",3,3,5
"cgroup_L5_8078374b","CHEBI:37415||gain","vincente","CHEBI:37415","gain","vehicle_untreated",3,3,5
"cgroup_L5_80a3028a","STR:jib_04||gain","vincente","STR:jib_04","gain","vehicle_untreated",4,4,5
"cgroup_L5_81b706c4","CHEBI:45863||gain","vincente","CHEBI:45863","gain","vehicle_untreated",12,12,5
"cgroup_L5_81c08752","MeSH:D012008||gain","vincente","MeSH:D012008","gain","diagnosis",4,4,5
"cgroup_L5_828ae0cb","HGNC:11927||gain","vincente","HGNC:11927","gain","vehicle_untreated",5,5,5
"cgroup_L5_82f82010","STR:diabetic||gain","vincente","STR:diabetic","gain","vehicle_untreated",6,6,5
"cgroup_L5_83135c89","CHEBI:76612||gain","vincente","CHEBI:76612","gain","vehicle_untreated",4,4,5
"cgroup_L5_8341bee7","CHEBI:17026||gain","vincente","CHEBI:17026","gain","vehicle_untreated",3,3,5
"cgroup_L5_83b1f88c","CHEBI:61397||gain","vincente","CHEBI:61397","gain","vehicle_untreated",3,3,5
"cgroup_L5_83f57274","STR:hypoxia||gain","vincente","STR:hypoxia","gain","normoxia",37,37,5
"cgroup_L5_840b7e36","HGNC:1653||gain","vincente","HGNC:1653","gain","vehicle_untreated",4,4,5
