"cluster_id","key","ruolo","contrast_entity","contrast_direction","contrast_control_key","k","n_studies","level"
"cgroup_L5_4290da61","CHEBI:73572||gain","vincente","CHEBI:73572","gain","vehicle_untreated",3,3,5
"cgroup_L5_4399f313","STR:epilepsy||gain","vincente","STR:epilepsy","gain","vehicle_untreated",3,3,5
"cgroup_L5_44420e6e","NCBITaxon:851||gain","vincente","NCBITaxon:851","gain","vehicle_untreated",3,3,5
"cgroup_L5_444e7fc2","NCBITaxon:10359||gain","vincente","NCBITaxon:10359","gain","vehicle_untreated",12,12,5
"cgroup_L5_451ecb56","CHEBI:47344||gain","vincente","CHEBI:47344","gain","vehicle_untreated",3,3,5
"cgroup_L5_455fe91d","CHEBI:86193||gain","vincente","CHEBI:86193","gain","vehicle_untreated",4,4,5
"cgroup_L5_45ca22b1","STR:dbrd9||gain","vincente","STR:dbrd9","gain","vehicle_untreated",3,3,5
"cgroup_L5_469db990","STR:nahs||gain","vincente","STR:nahs","gain","vehicle_untreated",3,3,5
"cgroup_L5_46a3a103","STR:radiation||gain","vincente","STR:radiation","gain","vehicle_untreated",9,9,5
"cgroup_L5_4753688f","STR:r5020||gain","vincente","STR:r5020","gain","vehicle_untreated",8,8,5
"cgroup_L5_479c6221","CHEBI:124921||gain","vincente","CHEBI:124921","gain","vehicle_untreated",9,9,5
"cgroup_L5_47e67cab","STR:1_25_oh_2d3||gain","vincente","STR:1_25_oh_2d3","gain","vehicle_untreated",3,3,5
"cgroup_L5_49d55bfd","HGNC:6014||gain","vincente","HGNC:6014","gain","vehicle_untreated",14,14,5
"cgroup_L5_49e290ae","CHEBI:4031||gain","vincente","CHEBI:4031","gain","vehicle_untreated",5,5,5
"cgroup_L5_4b901bf1","STR:psoriasis||gain","vincente","STR:psoriasis","gain","vehicle_untreated",10,10,5
"cgroup_L5_4be9e90d","CHEBI:39421||gain","vincente","CHEBI:39421","gain","vehicle_untreated",4,4,5
"cgroup_L5_4d535f25","STR:ykl_5_124||gain","vincente","STR:ykl_5_124","gain","vehicle_untreated",3,3,5
"cgroup_L5_4def5638","STR:fshd1||gain","vincente","STR:fshd1","gain","vehicle_untreated",3,3,5
"cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582||gain","vincente","CHEMBL:CHEMBL265582","gain","vehicle_untreated",7,7,5
"cgroup_L5_516200d1","CHEBI:29073||gain","vincente","CHEBI:29073","gain","vehicle_untreated",4,4,5
"cgroup_L5_522e9ebd","STR:keratoconus||gain","vincente","STR:keratoconus","gain","vehicle_untreated",3,3,5
"cgroup_L5_522fa0c2","STR:sals||gain","vincente","STR:sals","gain","vehicle_untreated",5,5,5
"cgroup_L5_523e64b9","CHEBI:67271||gain","vincente","CHEBI:67271","gain","vehicle_untreated",4,4,5
"cgroup_L5_535d97f6","CHEBI:45783||gain","vincente","CHEBI:45783","gain","vehicle_untreated",13,13,5
"cgroup_L5_538960a6","NCBITaxon:1773||gain","vincente","NCBITaxon:1773","gain","vehicle_untreated",5,5,5
"cgroup_L5_545a48c6","MeSH:D000077192||gain","vincente","MeSH:D000077192","gain","vehicle_untreated",4,4,5
"cgroup_L5_548236b5","CHEBI:90227||gain","vincente","CHEBI:90227","gain","vehicle_untreated",6,6,5
"cgroup_L5_56d531e8","CHEBI:17154||gain","vincente","CHEBI:17154","gain","vehicle_untreated",3,3,5
"cgroup_L5_574b5d0e","HGNC:1100||gain","vincente","HGNC:1100","gain","wild type",3,3,5
"cgroup_L5_5756018b","CHEBI:176844||gain","vincente","CHEBI:176844","gain","vehicle_untreated",3,3,5
"cgroup_L5_57810d6c","CHEBI:27881||gain","vincente","CHEBI:27881","gain","vehicle_untreated",3,3,5
"cgroup_L5_57ea5503","CHEBI:88249||gain","vincente","CHEBI:88249","gain","vehicle_untreated",4,4,5
"cgroup_L5_5801e974","STR:psoriasis_vulgaris||gain","vincente","STR:psoriasis_vulgaris","gain","vehicle_untreated",4,4,5
"cgroup_L5_5927750b","CHEBI:65347||gain","vincente","CHEBI:65347","gain","vehicle_untreated",4,4,5
"cgroup_L5_5929f298","STR:snx631||gain","vincente","STR:snx631","gain","vehicle_untreated",3,3,5
"cgroup_L5_59d2b212","HGNC:6407||gain","vincente","HGNC:6407","gain","vehicle_untreated",3,3,5
"cgroup_L5_5a202240","CHEBI:17234||gain","vincente","CHEBI:17234","gain","vehicle_untreated",3,3,5
"cgroup_L5_5b9a08fb","CHEBI:44185||gain","vincente","CHEBI:44185","gain","vehicle_untreated",4,4,5
"cgroup_L5_5d1a5c5f","CHEBI:173109||gain","vincente","CHEBI:173109","gain","vehicle_untreated",4,4,5
"cgroup_L5_5d97d5b1","CHEBI:59132||gain","vincente","CHEBI:59132","gain","vehicle_untreated",3,3,5
"cgroup_L5_5e0c0fae","CHEMBL:CHEMBL1201576||gain","vincente","CHEMBL:CHEMBL1201576","gain","vehicle_untreated",4,4,5
"cgroup_L5_5ed15418","STR:hypoxia||gain","scartato","STR:hypoxia","gain","vehicle_untreated",14,14,5
"cgroup_L5_601ede7b","CHEBI:90943||gain","vincente","CHEBI:90943","gain","vehicle_untreated",14,14,5
"cgroup_L5_60d9a5bf","CHEBI:32588||gain","vincente","CHEBI:32588","gain","vehicle_untreated",4,4,5
"cgroup_L5_61352c9e","CHEBI:132082||gain","vincente","CHEBI:132082","gain","vehicle_untreated",3,3,5
