"cluster_id","original_k","qc_final_k","original_n_studies","qc_final_n_studies","reason","reason_keff","k_eff_dichiarato","k_eff_mio","scarto"
"cgroup_L5_4290da61",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_83135c89",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_dcfcec80",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_b8bc334a",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_7b545f77",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_af782291",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_a3112513",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_aa505132",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_57ea5503",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_7cda77c1",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","0",0,0,0
"cgroup_L5_0a71325c",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_548236b5",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_af2c15aa",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_203dc31a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_87135459",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_3437775a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_9f293ec3",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_edc8e828",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_766cd3c6",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_b2645a34",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_1d4f4a13",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_e135d758",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_165b7913",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_0a4e5f58",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_b1c1f147",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_79981eb2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_9f34eb99",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_574b5d0e",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_bff799ca",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_b0e8388e",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_1c583f9b",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_206576be",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_d693cf88",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_b9921e6e",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_f25af0a2",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_9132f546",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_59d2b212",NA,1,NA,1,"rem_group_insufficient_in_study_controls: k_eff=1","1",1,1,0
"cgroup_L5_680b6b9c",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","0",0,0,0
"cgroup_L5_7a9d880a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_c669863b",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_fbcdc471",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","0",0,0,0
"cgroup_L5_e0c9a685",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_3e8ba26a",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_f2f8d3ac",NA,2,NA,2,"rem_group_insufficient_in_study_controls: k_eff=2","2",2,2,0
"cgroup_L5_6d58c751",NA,0,NA,0,"rem_group_insufficient_in_study_controls: k_eff=0","0",0,0,0
