"cluster_id","entita","k","classe_registro","antenato_di_membro","str_stato_o_ombrello","non_entita"
"cgroup_L5_6f451bc3","CHEBI:67208",1,"",TRUE,FALSE,TRUE
"cgroup_L5_6fdd6fa1","CHEBI:232556",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_705d5d8b","MeSH:D016207",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_70ec763f","CHEBI:80240",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_7149fca3","MeSH:D015433",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_717ef3fb","CHEBI:31689",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_719ab136","MeSH:D012595",3,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_71ff5519","CHEBI:135598",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_729b276d","MeSH:D016640",3,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_72a7de29","CHEBI:231683",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_72c03b1a","MeSH:D010190",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_73baf3d3","MeSH:D014947",2,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_767ac1a8","MeSH:D013119",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_769d3e39","CHEBI:747100",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_77216a09","MeSH:D058725",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_77d2d939","CHEBI:234577",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_78530a7a","MeSH:D001845",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_7934174c","CHEBI:231598",13,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_79755733","MeSH:D008175",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_79d65cdf","MeSH:D011127",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_7a63f2ea","CHEBI:137270",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_7aa4c19f","CHEBI:17823+CHEBI:84491",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_7b794fe6","MeSH:D011236",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_7bf5a13a","CHEBI:16412+CHEBI:28262",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_7bfdd3e5","CHEBI:230487",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_7eac095f","NCBITaxon:94285",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_7f55ded6","CHEBI:28262+CHEBI:81580",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_7fecb384","STR:irak1_4_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_80418ee0","NCBITaxon:5550",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_80612b5a","MeSH:D019737",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_80a90a07","CHEBI:157718",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_80c4e521","MeSH:D000013",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_8169921a","MeSH:D008011",2,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_84b52570","CHEBI:231344",3,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_84ef00a6","CHEBI:7754",1,"",TRUE,FALSE,TRUE
"cgroup_L5_8565adaf","CHEBI:16236+CHEBI:28262",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_86397396","CHEBI:231362",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_86b1c4a2","STR:ogt_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_87872ca1","STR:rig_i_agonist",1,"",FALSE,TRUE,TRUE
"cgroup_L5_8792d295","CHEBI:231614",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_87ad8fd6","NCBITaxon:1386",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_88d8ab26","CHEBI:232383",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_8958b27a","CHEBI:46741",7,"",TRUE,FALSE,TRUE
"cgroup_L5_89bd0d64","CHEBI:231701",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_8a1894a6","CHEBI:235412",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_8b422363","CHEBI:232616",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_8b65b3ff","CHEBI:233363",4,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_8bd78b41","MeSH:D019737",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_8bd9c54a","CHEBI:231602",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_8beac152","CHEBI:3063",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_8c0d0251","MeSH:D005234",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_8c8181ad","NCBITaxon:3337",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_8fa7946a","CHEBI:81068",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_9004ebe0","CHEBI:4659+CHEBI:48343",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_9004f441","CHEBI:28262+CHEBI:41879",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_9033a9e9","NCBITaxon:816",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_9167d15f","STR:polrmt_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_91b0ff32","MeSH:D011839",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_9298db31","STR:kat6_inhibitor",1,"",FALSE,TRUE,TRUE
"cgroup_L5_92d220b2","CHEBI:232616",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_9511abe5","NCBITaxon:238707",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
