"cluster_id","anchor_key","k","n_total","studies_in_cluster","canonical_name","contrast_entity","contrast_direction","contrast_control_key","contrast_entity_source","entita_canonica","fonte_risoluzione","fiducia"
"cgroup_L5_211f6635","CHEBI:42219||gain||vehicle_untreated",1,4,"GSE134045","digitoxin","CHEBI:42219","gain","vehicle_untreated","onto","CHEBI:42219","GIA_CANONICO","nessuna"
"cgroup_L5_2127398e","STR:hcv_associated_bnhl||gain||vehicle_untreated",1,12,"GSE215876","Epstein-Barr virus","STR:hcv_associated_bnhl","gain","vehicle_untreated","STR","STR:hcv_associated_bnhl","STR_NON_TOCCATO","nessuna"
"cgroup_L5_212749c1","STR:appropriate||gain||vehicle_untreated",1,5,"GSE223470","breast cancer","STR:appropriate","gain","vehicle_untreated","STR","STR:appropriate","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2127cc81","COMBO:glucose+glutamine||gain||no glucose and glutamine",1,6,"GSE199089","non-small cell lung carcinoma","COMBO:glucose+glutamine","gain","no glucose and glutamine","COMBO","COMBO:glucose+glutamine","GIA_CANONICO","nessuna"
"cgroup_L5_21344a86","STR:thrombotic_aps||gain||vehicle_untreated",1,2,"GSE205465","thrombotic primary aps","STR:thrombotic_aps","gain","vehicle_untreated","STR","STR:thrombotic_aps","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2135ced9","HGNC:21685||gain||vehicle_untreated+wt",1,12,"GSE245418","TUBBP5","HGNC:21685","gain","vehicle_untreated+wt","onto","HGNC:21685","GIA_CANONICO","nessuna"
"cgroup_L5_214169d3","STR:myeloma_ige_anti_ige||block||myeloma ige treated",1,8,"GSE107316","acute myeloid leukemia","STR:myeloma_ige_anti_ige","block","myeloma ige treated","STR","STR:myeloma_ige_anti_ige","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21438062","STR:shxpb||gain||scramble shrna",1,2,"GSE63314","colon adenocarcinoma","STR:shxpb","gain","scramble shrna","STR","STR:shxpb","STR_NON_TOCCATO","nessuna"
"cgroup_L5_214e17b9","COMBO:gefitinib+yfsj||gain||vehicle_untreated",1,20,"GSE125933","24h_1mg_cki","COMBO:gefitinib+yfsj","gain","vehicle_untreated","COMBO","COMBO:gefitinib+yfsj","GIA_CANONICO","nessuna"
"cgroup_L5_21521149","STR:site_3_complete_deletion||gain||vehicle_untreated",1,5,"GSE118514","prostate cancer","STR:site_3_complete_deletion","gain","vehicle_untreated","STR","STR:site_3_complete_deletion","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2153e527","STR:lapa1||gain||ctrl",1,6,"GSE175906","breast cancer","STR:lapa1","gain","ctrl","STR","STR:lapa1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_2159bfb0","NCBITaxon:485||gain||vehicle_untreated",1,2,"GSE190923","Copper","NCBITaxon:485","gain","vehicle_untreated","onto","NCBITaxon:485","GIA_CANONICO","nessuna"
"cgroup_L5_215e1b34","STR:shprmt1||gain||shctrl",1,4,"GSE122435","protein arginine methyltransferase 1","STR:shprmt1","gain","shctrl","STR","STR:shprmt1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21681259","STR:plzf_sirna_a||block||control sirna a",1,2,"GSE125167","TMSB4Y","STR:plzf_sirna_a","block","control sirna a","STR","STR:plzf_sirna_a","STR_NON_TOCCATO","nessuna"
"cgroup_L5_216ee772","COMBO:bsa+palmitic acid||gain||bsa",1,6,"GSE240279","hexadecanoic acid","COMBO:bsa+palmitic acid","gain","bsa","COMBO","COMBO:bsa+palmitic acid","GIA_CANONICO","nessuna"
"cgroup_L5_2170b30c","STR:e_coli_membrane_vesicles||gain||vehicle_untreated",1,6,"GSE102923","Escherichia coli","STR:e_coli_membrane_vesicles","gain","vehicle_untreated","STR","STR:e_coli_membrane_vesicles","STR_NON_TOCCATO","nessuna"
"cgroup_L5_217c1aec","HGNC:9801||gain||vehicle_untreated",1,3,"GSE236153","ISG20","HGNC:9801","gain","vehicle_untreated","onto","HGNC:9801","GIA_CANONICO","nessuna"
"cgroup_L5_2181a8ac","STR:differentiated_fusp525l_mutant||gain||undifferentiated+vehicle_untreated",1,3,"GSE239403","FUSP1","STR:differentiated_fusp525l_mutant","gain","undifferentiated+vehicle_untreated","STR","STR:differentiated_fusp525l_mutant","STR_NON_TOCCATO","nessuna"
"cgroup_L5_218383a5","STR:cmv_sept9_v3||gain||vehicle_untreated",1,6,"GSE119449","SEPTIN9","STR:cmv_sept9_v3","gain","vehicle_untreated","STR","STR:cmv_sept9_v3","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21839fd9","STR:hnrnpc1||gain||sirna negative control",1,9,"GSE155473","TPCN1","STR:hnrnpc1","gain","sirna negative control","STR","STR:hnrnpc1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21862ba1","MeSH:D016889||gain||asymptomatic controls",1,28,"GSE183635","Endometrial Neoplasms","MeSH:D016889","gain","asymptomatic controls","anchor","MeSH:D016889","GIA_CANONICO","nessuna"
"cgroup_L5_2197f7d9","STR:0_3_m_mi_503||gain||n a+vehicle_untreated",1,4,"GSE180227","mi-503 at 0.3 î¼m for 24 hours","STR:0_3_m_mi_503","gain","n a+vehicle_untreated","STR","STR:0_3_m_mi_503","STR_NON_TOCCATO","nessuna"
"cgroup_L5_219872d9","STR:cgamp||gain||water",1,6,"GSE184421","cGAMP","STR:cgamp","gain","water","STR","STR:cgamp","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21a07ef3","STR:boris_overexpression||gain||empty vector",1,2,"GSE131931","RGS4","STR:boris_overexpression","gain","empty vector","STR","STR:boris_overexpression","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21aa891d","STR:grwd1||gain||scr",1,11,"GSE146726","GRWD1","STR:grwd1","gain","scr","STR","STR:grwd1","STR_NON_TOCCATO","nessuna"
