"id_a","id_b","chiave","tier","entrambi_nel_corpus","blocco"
"CHEBI:17303","CHEMBL:CHEMBL70","morphia","T3_alias_alias",FALSE,""
"CHEBI:17303","MeSH:D009020","morphia","T3_alias_alias",FALSE,""
"CHEBI:17313","CHEMBL:CHEMBL244948","daphnetin","T2_canonico_alias",FALSE,""
"CHEBI:17327","CHEMBL:CHEMBL1644111","transphytol","T2_canonico_alias",FALSE,""
"CHEBI:17327","CHEMBL:CHEMBL3039479","phytol","T1_canonico_canonico",FALSE,""
"CHEBI:17327","MeSH:D010836","phytol","T1_canonico_canonico",FALSE,""
"CHEBI:17347","CHEMBL:CHEMBL386630","testosterone","T1_canonico_canonico",FALSE,""
"CHEBI:17347","MeSH:D013739","testosterone","T1_canonico_canonico",FALSE,""
"CHEBI:17376","CHEMBL:CHEMBL590540","cistina","T3_alias_alias",FALSE,""
"CHEBI:17376","NCBITaxon:742509","cistina","T2_canonico_alias",FALSE,"taxon_sopra_specie"
"CHEBI:17489","MeSH:D000242","cyclicamp","T2_canonico_alias",FALSE,""
"CHEBI:17553","CHEMBL:CHEMBL146972","phosphorylethanolamine","T2_canonico_alias",FALSE,""
"CHEBI:175901","CHEMBL:CHEMBL888","gemcitabine","T1_canonico_canonico",FALSE,""
"CHEBI:175901","MeSH:D000093542","gemcitabine","T1_canonico_canonico",FALSE,"mesh_troppo_alto"
"CHEBI:176334","CHEMBL:CHEMBL3786182","gsk2879552","T1_canonico_canonico",FALSE,""
"CHEBI:17650","CHEMBL:CHEMBL389621","cortisol","T2_canonico_alias",FALSE,""
"CHEBI:17650","MeSH:D006854","cortisol","T2_canonico_alias",FALSE,""
"CHEBI:176844","CHEMBL:CHEMBL1094636","niraparib","T1_canonico_canonico",FALSE,""
"CHEBI:176975","CHEMBL:CHEMBL4297410","it139","T2_canonico_alias",FALSE,""
"CHEBI:17698","CHEMBL:CHEMBL130","chloramphenicol","T1_canonico_canonico",FALSE,""
"CHEBI:17698","MeSH:D002701","chloramphenicol","T1_canonico_canonico",FALSE,""
"CHEBI:177387","CHEMBL:CHEMBL38434","brequinar","T1_canonico_canonico",FALSE,""
"CHEBI:17741","CHEMBL:CHEMBL268291","dimethylformamide","T2_canonico_alias",FALSE,""
"CHEBI:17741","MeSH:D004126","dimethylformamide","T2_canonico_alias",FALSE,""
"CHEBI:177536","CHEMBL:CHEMBL2105738","galeterone","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:17761","MeSH:D002518","ceramides","T2_canonico_alias",FALSE,"mesh_troppo_alto"
"CHEBI:177705","CHEMBL:CHEMBL3039522","birinapant","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:17775","CHEMBL:CHEMBL792","268trioxypurine","T3_alias_alias",FALSE,""
"CHEBI:177770","CHEMBL:CHEMBL2103879","ganetespib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:177783","CHEMBL:CHEMBL355200","eniluracil","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:17790","CHEMBL:CHEMBL14688","methanol","T2_canonico_alias",FALSE,""
"CHEBI:17790","MeSH:D000432","methanol","T1_canonico_canonico",FALSE,"mesh_troppo_alto"
"CHEBI:178199","CHEMBL:CHEMBL4535757","sotorasib","T1_canonico_canonico",FALSE,""
"CHEBI:17823","CHEMBL:CHEMBL846","calcitriol","T1_canonico_canonico",FALSE,""
"CHEBI:17823","MeSH:D002117","calcitriol","T1_canonico_canonico",FALSE,""
"CHEBI:17833","CHEMBL:CHEMBL6067485","gentamicin","T2_canonico_alias",FALSE,""
"CHEBI:17833","MeSH:D005839","gentamycin","T2_canonico_alias",FALSE,""
"CHEBI:17883","CHEMBL:CHEMBL1231821","hydrochloricacid","T2_canonico_alias",FALSE,""
"CHEBI:17883","MeSH:D006851","hydrochloricacid","T2_canonico_alias",FALSE,"mesh_troppo_alto"
"CHEBI:17968","CHEMBL:CHEMBL14227","butyrate","T2_canonico_alias",FALSE,""
"CHEBI:17968","MeSH:D002087","butyrate","T2_canonico_alias",FALSE,""
"CHEBI:17992","CHEMBL:CHEMBL253582","sucrose","T1_canonico_canonico",FALSE,""
"CHEBI:17992","MeSH:D013395","sucrose","T1_canonico_canonico",FALSE,""
"CHEBI:17992","MeSH:D019422","tablesugar","T3_alias_alias",FALSE,""
"CHEBI:18050","CHEMBL:CHEMBL930","levoglutamide","T3_alias_alias",FALSE,""
"CHEBI:18053","CHEMBL:CHEMBL265325","1aminocyclopropanecarboxylicacid","T1_canonico_canonico",FALSE,""
"CHEBI:18058","MeSH:D010072","oxamicacid","T1_canonico_canonico",FALSE,"mesh_troppo_alto"
"CHEBI:181391","CHEMBL:CHEMBL67","combretastatina4","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:18243","CHEMBL:CHEMBL59","dopamina","T3_alias_alias",FALSE,""
"CHEBI:18243","MeSH:D004298","34dihydroxyphenethylamine","T3_alias_alias",FALSE,""
"CHEBI:18248","CHEMBL:CHEMBL1201544","ferrum","T3_alias_alias",FALSE,""
"CHEBI:18357","CHEMBL:CHEMBL1437","norepinefrina","T3_alias_alias",FALSE,""
"CHEBI:18357","CHEMBL:CHEMBL18824","lnorepinephrine","T2_canonico_alias",FALSE,""
"CHEBI:18357","MeSH:D009638","arterenol","T3_alias_alias",FALSE,""
"HGNC:13568","CHEBI:184911","pgpi","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:187904","CHEMBL:CHEMBL67279","talabostat","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:188197","CHEMBL:CHEMBL191482","ar42","T1_canonico_canonico",FALSE,""
"CHEBI:188559","CHEMBL:CHEMBL2105648","palovarotene","T1_canonico_canonico",FALSE,""
"CHEBI:189662","CHEMBL:CHEMBL3544944","bms863233","T2_canonico_alias",FALSE,""
"CHEBI:192461","CHEMBL:CHEMBL503044","toosendanin","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:193137","CHEMBL:CHEMBL2431768","lcl161","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:195327","CHEMBL:CHEMBL577294","2hydroxypropylbetacyclodextrin","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:195327","MeSH:D000073738","2hydroxypropylbetacyclodextrin","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:195368","HGNC:30092","nampt","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:195558","CHEMBL:CHEMBL1983268","entrectinib","T1_canonico_canonico",FALSE,""
"CHEBI:195559","CHEMBL:CHEMBL3545154","poziotinib","T1_canonico_canonico",FALSE,""
"CHEBI:197107","CHEMBL:CHEMBL206834","bafetinib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:197437","CHEMBL:CHEMBL272980","mocetinostat","T1_canonico_canonico",FALSE,""
"CHEMBL:CHEMBL265582","CHEBI:197439","tnfalpha","T2_canonico_alias",FALSE,"chebi_stars<3"
"HGNC:11892","CHEBI:197439","tnfa","T3_alias_alias",FALSE,"chebi_stars<3"
"HGNC:11892","CHEBI:197440","tnfsf2","T3_alias_alias",FALSE,"chebi_stars<3"
"CHEBI:198892","HGNC:8623","pax9","T1_canonico_canonico",FALSE,"chebi_stars<3"
"HGNC:8620","CHEBI:202609","pax6","T1_canonico_canonico",FALSE,"chebi_stars<3"
"HGNC:8619","CHEBI:202717","pax5","T1_canonico_canonico",TRUE,"chebi_stars<3"
"HGNC:12363","CHEBI:203053","tuberin","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:2038","CHEMBL:CHEMBL1489","azacitidine","T2_canonico_alias",FALSE,""
"CHEBI:2038","MeSH:D001374","5azacytidine","T2_canonico_alias",FALSE,"mesh_troppo_alto"
"CHEBI:20480","MeSH:D013891","4thiouridine","T2_canonico_alias",FALSE,""
"CHEBI:205761","CHEMBL:CHEMBL1242745","pladienolideb","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:21547","CHEMBL:CHEMBL1162494","nacetylasparticacid","T2_canonico_alias",FALSE,""
"CHEBI:21759","MeSH:D008769","methylnitronitrosoguanidine","T2_canonico_alias",FALSE,""
"CHEMBL:CHEMBL4456585","CHEBI:220491","compound4","T2_canonico_alias",TRUE,"chebi_stars<3"
"CHEBI:229222","CHEMBL:CHEMBL2325741","capivasertib","T1_canonico_canonico",FALSE,""
"CHEBI:229254","CHEMBL:CHEMBL179900","cyclocreatine","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:229764","CHEMBL:CHEMBL3545185","selinexor","T1_canonico_canonico",FALSE,""
"CHEBI:22977","CHEMBL:CHEMBL2074977","cadmium","T2_canonico_alias",FALSE,""
"CHEBI:22977","MeSH:D002104","cadmium","T2_canonico_alias",FALSE,""
"CHEBI:230493","CHEMBL:CHEMBL3414626","pinometostat","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:230506","CHEMBL:CHEMBL4297643","sta5326","T3_alias_alias",FALSE,"chebi_stars<3"
"CHEBI:230508","CHEMBL:CHEMBL3581647","birabresib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:230905","CHEMBL:CHEMBL3545110","ribociclib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231324","CHEMBL:CHEMBL2396661","alpelisib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231342","CHEMBL:CHEMBL4285417","ceralasertib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231344","CHEMBL:CHEMBL3137320","talazoparib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231347","CHEMBL:CHEMBL231616","triapine","T1_canonico_canonico",FALSE,""
"CHEBI:231355","CHEMBL:CHEMBL2107784","tasquinimod","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231356","CHEMBL:CHEMBL2103842","varlitinib","T1_canonico_canonico",FALSE,""
"CHEBI:231357","CHEMBL:CHEMBL1234354","pf04691502","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231358","CHEMBL:CHEMBL1233528","volasertib","T1_canonico_canonico",FALSE,""
"CHEBI:231366","CHEMBL:CHEMBL1615025","tak733","T1_canonico_canonico",FALSE,""
"CHEBI:231555","HGNC:7997","neuregulin1","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:231555","MeSH:D020890","neuregulin1","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:231598","CHEMBL:CHEMBL3414621","tazemetostat","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231600","CHEMBL:CHEMBL278703","erteberel","T1_canonico_canonico",FALSE,""
"CHEBI:231601","CHEMBL:CHEMBL1201585","trastuzumab","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231601","MeSH:D000068878","trastuzumab","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231602","CHEMBL:CHEMBL1236682","refametinib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231603","CHEMBL:CHEMBL3544916","guadecitabine","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231605","CHEMBL:CHEMBL3639788","telaglenastat","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231614","CHEMBL:CHEMBL2108738","nivolumab","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231614","MeSH:D000077594","nivolumab","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231621","CHEMBL:CHEMBL2110587","tasisulam","T1_canonico_canonico",FALSE,""
"CHEBI:231674","CHEMBL:CHEMBL4078100","azd5153","T1_canonico_canonico",FALSE,""
"CHEBI:231679","CHEMBL:CHEMBL1789844","ipilimumab","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231679","MeSH:D000074324","ipilimumab","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231683","CHEMBL:CHEMBL1201570","anakinra","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231683","MeSH:D053590","anakinra","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:231695","CHEMBL:CHEMBL560895","snx2112","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231696","CHEMBL:CHEMBL591429","pac1","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:231702","CHEMBL:CHEMBL571546","tirbanibulin","T1_canonico_canonico",FALSE,""
"CHEBI:231727","CHEMBL:CHEMBL13470","snc80","T1_canonico_canonico",FALSE,""
"CHEBI:232328","CHEMBL:CHEMBL4297310","dordaviprone","T1_canonico_canonico",FALSE,""
"CHEBI:232423","MeSH:D003208","concanavalina","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:232521","CHEMBL:CHEMBL3747513","cb5083","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:232544","CHEMBL:CHEMBL4071161","tirabrutinib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:232547","CHEMBL:CHEMBL2051959","etomoxir","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:232556","CHEMBL:CHEMBL3545376","erdafitinib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:232606","CHEMBL:CHEMBL4748063","anle138b","T2_canonico_alias",FALSE,"chebi_stars<3"
