"studio","braccio","a","b","r","dichiarata","dep_a","dep_b"
"GSE264575","GSM8222924,GSM8222925,GSM8222926","GSM8222924","GSM8222926",0.996664013065329,FALSE,31151234,28208270
"GSE137200,GSE137209","GSM4072891,GSM4072892,GSM4072893","GSM4072892","GSM4072893",0.996662528633021,FALSE,55669533,50571934
"GSE188958","GSM5692436,GSM5692437","GSM5692436","GSM5692437",0.996658092297307,FALSE,46797767,44729692
"GSE230744,GSE237803","GSM7653744,GSM7653745","GSM7653744","GSM7653745",0.996657530791855,FALSE,36704016,32327339
"GSE117329","GSM3291109,GSM3291110,GSM3291111","GSM3291110","GSM3291111",0.996655380242344,FALSE,49757724,27329734
"GSE171358","GSM5224093,GSM5224094,GSM5224095","GSM5224093","GSM5224094",0.996651478390898,FALSE,46920601,46286885
"GSE117329","GSM3291100,GSM3291101,GSM3291102","GSM3291101","GSM3291102",0.996650289644491,FALSE,42255812,40476958
"GSE56022","GSM1700776,GSM1700777","GSM1700776","GSM1700777",0.996647417034212,FALSE,62486373,66338751
"GSE225481,GSE228897","GSM7049257,GSM7049258","GSM7049257","GSM7049258",0.996646509318086,FALSE,30711358,34936218
"GSE113604","GSM3109644,GSM3109645","GSM3109644","GSM3109645",0.996642298032928,FALSE,30535341,23814463
"GSE157069","GSM4751923,GSM4751924","GSM4751923","GSM4751924",0.996633259688508,FALSE,27392874,29284947
"GSE135879","GSM4037044,GSM4037045","GSM4037044","GSM4037045",0.996631418286984,FALSE,30711291,34936199
"GSE120660","GSM3407124,GSM3407125,GSM3407126","GSM3407124","GSM3407125",0.99662989155749,FALSE,31309999,30591006
"GSE179347","GSM5415772,GSM5415773,GSM5415774,GSM5415","GSM5415797","GSM5415801",0.996629440058968,FALSE,26723676,19856433
"GSE119606","GSM3378752,GSM3378755,GSM3378758","GSM3378752","GSM3378755",0.996629376872881,FALSE,32748493,30594085
"GSE249573,GSE249574","GSM7950288,GSM7950289,GSM7950290,GSM7950","GSM7950288","GSM7950289",0.996628108483614,FALSE,43621990,46068309
"GSE246886,GSE246889","GSM7880373,GSM7880374,GSM7880375,GSM7880","GSM7880375","GSM7880378",0.996623990992339,FALSE,38077113,41466193
"GSE249721","GSM7961970,GSM7961971,GSM7961972","GSM7961970","GSM7961971",0.996622067910987,FALSE,33182250,34934069
"GSE230744,GSE237803","GSM7653762,GSM7653764","GSM7653762","GSM7653764",0.996621679893017,FALSE,41311043,36825647
"GSE145746,GSE145747","GSM4332062,GSM4332063,GSM4332070,GSM4332","GSM4332062","GSM4332063",0.996617929008888,FALSE,43943943,44269689
"GSE237177","GSM7596471,GSM7596472,GSM7596473","GSM7596471","GSM7596473",0.996616958442399,FALSE,35230289,39063707
"GSE225517","GSM7049757,GSM7049758,GSM7049759,GSM7049","GSM7049759","GSM7049760",0.996614217082327,FALSE,40705885,40549637
"GSE231871","GSM7305417,GSM7305418,GSM7305419,GSM7305","GSM7305418","GSM7305419",0.99661228941442,FALSE,32514867,37199052
