"studio","a","b","ta","tb","r","stessa_libreria"
"GSE173902","GSM5282770","GSM5282776","SE.IL22 sam14_L001","SE.none sam2_L002",0.906403808493005,FALSE
"GSE173902","GSM5282771","GSM5282776","SA.IL22 sam15_L001","SE.none sam2_L002",0.907164410615218,FALSE
"GSE173902","GSM5282772","GSM5282776","none.IFNg sam19_L001","SE.none sam2_L002",0.88975163338535,FALSE
"GSE173902","GSM5282773","GSM5282776","SE.IFNg sam20_L001","SE.none sam2_L002",0.885791217248236,FALSE
"GSE173902","GSM5282774","GSM5282776","SA.IFNg sam21_L001","SE.none sam2_L002",0.887276448231339,FALSE
"GSE173902","GSM5282775","GSM5282776","none.none sam1_L002","SE.none sam2_L002",0.91029009914714,FALSE
"GSE173902","GSM5282757","GSM5282777","none.none sam1_L001","SA.none sam3_L002",0.911833931273716,FALSE
"GSE173902","GSM5282758","GSM5282777","SE.none sam2_L001","SA.none sam3_L002",0.910808486383474,FALSE
"GSE173902","GSM5282759","GSM5282777","SA.none sam3_L001","SA.none sam3_L002",0.938303937282488,TRUE
"GSE173902","GSM5282760","GSM5282777","none.IL4 sam4_L001","SA.none sam3_L002",0.905749707761956,FALSE
"GSE173902","GSM5282761","GSM5282777","SE.IL4 sam5_L001","SA.none sam3_L002",0.904416879449761,FALSE
"GSE173902","GSM5282762","GSM5282777","SA.IL4 sam6_L001","SA.none sam3_L002",0.904590826676108,FALSE
"GSE173902","GSM5282763","GSM5282777","none.IL13 sam7_L001","SA.none sam3_L002",0.902077447062271,FALSE
"GSE173902","GSM5282764","GSM5282777","SE.IL13 sam8_L001","SA.none sam3_L002",0.904891449948045,FALSE
"GSE173902","GSM5282765","GSM5282777","SA.IL13 sam9_L001","SA.none sam3_L002",0.901828620045201,FALSE
"GSE173902","GSM5282766","GSM5282777","none.IL4IL13 sam10_L001","SA.none sam3_L002",0.904252544821394,FALSE
"GSE173902","GSM5282767","GSM5282777","SE.IL4IL13 sam11_L001","SA.none sam3_L002",0.903063524919335,FALSE
"GSE173902","GSM5282768","GSM5282777","SA.IL4IL13 sam12_L001","SA.none sam3_L002",0.903081074551086,FALSE
"GSE173902","GSM5282769","GSM5282777","none.IL22 sam13_L001","SA.none sam3_L002",0.90682722597888,FALSE
"GSE173902","GSM5282770","GSM5282777","SE.IL22 sam14_L001","SA.none sam3_L002",0.909243700965833,FALSE
"GSE173902","GSM5282771","GSM5282777","SA.IL22 sam15_L001","SA.none sam3_L002",0.909202058174509,FALSE
"GSE173902","GSM5282772","GSM5282777","none.IFNg sam19_L001","SA.none sam3_L002",0.890525670247839,FALSE
"GSE173902","GSM5282773","GSM5282777","SE.IFNg sam20_L001","SA.none sam3_L002",0.891170382965247,FALSE
"GSE173902","GSM5282774","GSM5282777","SA.IFNg sam21_L001","SA.none sam3_L002",0.889232229453672,FALSE
"GSE173902","GSM5282775","GSM5282777","none.none sam1_L002","SA.none sam3_L002",0.910651963622017,FALSE
"GSE173902","GSM5282776","GSM5282777","SE.none sam2_L002","SA.none sam3_L002",0.910455172342173,FALSE
"GSE173902","GSM5282757","GSM5282778","none.none sam1_L001","none.IL4 sam4_L002",0.907068946951516,FALSE
"GSE173902","GSM5282758","GSM5282778","SE.none sam2_L001","none.IL4 sam4_L002",0.903928795977164,FALSE
"GSE173902","GSM5282759","GSM5282778","SA.none sam3_L001","none.IL4 sam4_L002",0.90479560257868,FALSE
"GSE173902","GSM5282760","GSM5282778","none.IL4 sam4_L001","none.IL4 sam4_L002",0.930307395153983,TRUE
"GSE173902","GSM5282761","GSM5282778","SE.IL4 sam5_L001","none.IL4 sam4_L002",0.906837065186906,FALSE
"GSE173902","GSM5282762","GSM5282778","SA.IL4 sam6_L001","none.IL4 sam4_L002",0.908157484999276,FALSE
"GSE173902","GSM5282763","GSM5282778","none.IL13 sam7_L001","none.IL4 sam4_L002",0.909326325537305,FALSE
"GSE173902","GSM5282764","GSM5282778","SE.IL13 sam8_L001","none.IL4 sam4_L002",0.906682232013138,FALSE
"GSE173902","GSM5282765","GSM5282778","SA.IL13 sam9_L001","none.IL4 sam4_L002",0.903523895065644,FALSE
"GSE173902","GSM5282766","GSM5282778","none.IL4IL13 sam10_L001","none.IL4 sam4_L002",0.909745879939706,FALSE
"GSE173902","GSM5282767","GSM5282778","SE.IL4IL13 sam11_L001","none.IL4 sam4_L002",0.904915640228081,FALSE
"GSE173902","GSM5282768","GSM5282778","SA.IL4IL13 sam12_L001","none.IL4 sam4_L002",0.9046153277848,FALSE
"GSE173902","GSM5282769","GSM5282778","none.IL22 sam13_L001","none.IL4 sam4_L002",0.90467862295528,FALSE
"GSE173902","GSM5282770","GSM5282778","SE.IL22 sam14_L001","none.IL4 sam4_L002",0.904139773463539,FALSE
"GSE173902","GSM5282771","GSM5282778","SA.IL22 sam15_L001","none.IL4 sam4_L002",0.903458528164566,FALSE
"GSE173902","GSM5282772","GSM5282778","none.IFNg sam19_L001","none.IL4 sam4_L002",0.892246092921816,FALSE
