"studio","ta","tb","r_pearson","r_spearman","stessa_libreria"
"GSE173902","SE.IL4IL13 sam11_L001","SA.IL22 sam15_L001",0.977320593603825,0.979030568298361,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","SA.IL22 sam15_L001",0.975956514972081,0.977506106826494,FALSE
"GSE173902","none.IL22 sam13_L001","SA.IL22 sam15_L001",0.987416196372038,0.989032168078057,FALSE
"GSE173902","SE.IL22 sam14_L001","SA.IL22 sam15_L001",0.990265892957114,0.991602663123199,FALSE
"GSE173902","none.none sam1_L001","none.IFNg sam19_L001",0.928583337440076,0.930804449666231,FALSE
"GSE173902","SE.none sam2_L001","none.IFNg sam19_L001",0.92309466786394,0.925806924589763,FALSE
"GSE173902","SA.none sam3_L001","none.IFNg sam19_L001",0.93051071955837,0.933223348988614,FALSE
"GSE173902","none.IL4 sam4_L001","none.IFNg sam19_L001",0.93302390946569,0.935049099205923,FALSE
"GSE173902","SE.IL4 sam5_L001","none.IFNg sam19_L001",0.927737715589994,0.929953762876011,FALSE
"GSE173902","SA.IL4 sam6_L001","none.IFNg sam19_L001",0.929897877709413,0.932127146997752,FALSE
"GSE173902","none.IL13 sam7_L001","none.IFNg sam19_L001",0.93171312882624,0.933815063145612,FALSE
"GSE173902","SE.IL13 sam8_L001","none.IFNg sam19_L001",0.924671581641795,0.926858822493676,FALSE
"GSE173902","SA.IL13 sam9_L001","none.IFNg sam19_L001",0.928451428877558,0.93052801086481,FALSE
"GSE173902","none.IL4IL13 sam10_L001","none.IFNg sam19_L001",0.93289944114583,0.935096012935994,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","none.IFNg sam19_L001",0.926275243032605,0.928279019077233,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","none.IFNg sam19_L001",0.930260330460081,0.932307657181519,FALSE
"GSE173902","none.IL22 sam13_L001","none.IFNg sam19_L001",0.93850657199833,0.94096641580153,FALSE
"GSE173902","SE.IL22 sam14_L001","none.IFNg sam19_L001",0.934706157325317,0.937421374221972,FALSE
"GSE173902","SA.IL22 sam15_L001","none.IFNg sam19_L001",0.937801750078767,0.939852917779725,FALSE
"GSE173902","none.none sam1_L001","SE.IFNg sam20_L001",0.912896691655301,0.914808535521033,FALSE
"GSE173902","SE.none sam2_L001","SE.IFNg sam20_L001",0.915047098351059,0.91688006329228,FALSE
"GSE173902","SA.none sam3_L001","SE.IFNg sam20_L001",0.925700654082988,0.927824848964279,FALSE
"GSE173902","none.IL4 sam4_L001","SE.IFNg sam20_L001",0.923179376895162,0.924565014175284,FALSE
"GSE173902","SE.IL4 sam5_L001","SE.IFNg sam20_L001",0.927848902090548,0.929120571169749,FALSE
"GSE173902","SA.IL4 sam6_L001","SE.IFNg sam20_L001",0.930424604204969,0.931788368362613,FALSE
"GSE173902","none.IL13 sam7_L001","SE.IFNg sam20_L001",0.91982325351241,0.921535104366676,FALSE
"GSE173902","SE.IL13 sam8_L001","SE.IFNg sam20_L001",0.923335983232194,0.924569405455938,FALSE
"GSE173902","SA.IL13 sam9_L001","SE.IFNg sam20_L001",0.926813532742629,0.927943479598396,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SE.IFNg sam20_L001",0.922157420475116,0.923799481069938,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","SE.IFNg sam20_L001",0.9241378743959,0.925047135466845,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","SE.IFNg sam20_L001",0.930875746031287,0.932191599659805,FALSE
"GSE173902","none.IL22 sam13_L001","SE.IFNg sam20_L001",0.92754199660823,0.929993009310901,FALSE
"GSE173902","SE.IL22 sam14_L001","SE.IFNg sam20_L001",0.931858243565218,0.934095619269646,FALSE
"GSE173902","SA.IL22 sam15_L001","SE.IFNg sam20_L001",0.932741156795698,0.934217434788305,FALSE
"GSE173902","none.IFNg sam19_L001","SE.IFNg sam20_L001",0.988087766373101,0.988807955481796,FALSE
"GSE173902","none.none sam1_L001","SA.IFNg sam21_L001",0.915336154839587,0.917331376626113,FALSE
"GSE173902","SE.none sam2_L001","SA.IFNg sam21_L001",0.917508055181998,0.919389595692879,FALSE
"GSE173902","SA.none sam3_L001","SA.IFNg sam21_L001",0.927442821218386,0.929643202458637,FALSE
"GSE173902","none.IL4 sam4_L001","SA.IFNg sam21_L001",0.924366369211646,0.926060523030243,FALSE
"GSE173902","SE.IL4 sam5_L001","SA.IFNg sam21_L001",0.929759453792972,0.930941388767849,FALSE
"GSE173902","SA.IL4 sam6_L001","SA.IFNg sam21_L001",0.932186022338264,0.933623391948667,FALSE
"GSE173902","none.IL13 sam7_L001","SA.IFNg sam21_L001",0.922198985450795,0.924057534340209,FALSE
"GSE173902","SE.IL13 sam8_L001","SA.IFNg sam21_L001",0.925000512906095,0.926225964358665,FALSE
"GSE173902","SA.IL13 sam9_L001","SA.IFNg sam21_L001",0.92878020759286,0.92992760732515,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SA.IFNg sam21_L001",0.924040315537002,0.925965509761804,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","SA.IFNg sam21_L001",0.925495941709715,0.926620567478326,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","SA.IFNg sam21_L001",0.932290431356058,0.933561350771806,FALSE
"GSE173902","none.IL22 sam13_L001","SA.IFNg sam21_L001",0.929323615943089,0.931884801820513,FALSE
"GSE173902","SE.IL22 sam14_L001","SA.IFNg sam21_L001",0.933243866658673,0.93541590825447,FALSE
"GSE173902","SA.IL22 sam15_L001","SA.IFNg sam21_L001",0.935339073701031,0.936772817605245,FALSE
"GSE173902","none.IFNg sam19_L001","SA.IFNg sam21_L001",0.988847677622293,0.989704897483791,FALSE
